,bottleneck_dir,top-primary-color-white,top-primary-color-beige,top-primary-color-black,top-primary-color-brown,top-primary-color-grey,top-primary-color-blue,top-primary-color-navy,top-primary-color-teal,top-primary-color-green,top-primary-color-olive,top-primary-color-pink,top-primary-color-red,top-primary-color-maroon,top-primary-color-purple,top-primary-color-orange,top-primary-color-yellow,top-secondary-color-white,top-secondary-color-beige,top-secondary-color-black,top-secondary-color-brown,top-secondary-color-grey,top-secondary-color-blue,top-secondary-color-navy,top-secondary-color-teal,top-secondary-color-green,top-secondary-color-olive,top-secondary-color-pink,top-secondary-color-red,top-secondary-color-maroon,top-secondary-color-purple,top-secondary-color-orange,top-secondary-color-yellow,top-secondary-color-none,top-type-short-sleeve-t-shirt,top-type-long-sleeve-t-shirt,top-type-short-sleeve-shirt,top-type-long-sleeve-shirt,top-type-singlet,top-type-polo,t-shirt-style-graphic-text,t-shirt-style-graphic-image,t-shirt-style-round-neck,t-shirt-style-henley,t-shirt-style-pocket,t-shirt-fit-slim-fit,t-shirt-fit-longline,t-shirt-fit-baggy,t-shirt-fit-regular,shirt-style-oxford,shirt-style-dress,shirt-style-graphic,shirt-style-pocket,shirt-style-granddad-collar,shirt-fit-slim-fit,shirt-fit-regular-fit,top-patterns-animal-print,top-patterns-argyle,top-patterns-horizontal-stripe,top-patterns-vertical-stripe,top-patterns-checkered,top-patterns-dotted,top-patterns-floral,top-patterns-plaid,top-material-denim,top-material-dry-fit,top-material-cotton
10,bottlenecks/Clean clothes/Tops/graphictshirts654.jpg.txt,0.9186757207,0.0068920362,0.0020636099,0.0001628009,0.006049966,0.0174765326,0.0048142071,0.0348447785,0.0003496765,0.0006218432,0.0008013981,0.0004773334,0.0002833138,0.005238866,0.0005125378,0.0007354127,0.0360665955,0.0006646396,0.289845407,0.0029201924,0.0391064845,0.0755576417,0.0434542038,0.0080292244,0.0238708239,0.0046630912,0.0024108794,0.0349714831,0.002918639,0.0089095198,0.0516192801,0.030150637,0.3448413014,0.992056191,0.0025389805,0.0006934395,1.22071705845883E-05,0.0004245319,0.0042745778,0.0600766875,0.1930617988,0.926471889,0.0030335218,0.063631475,0.0224491972,0.0155474059,0.0158841684,0.9461191893,0.1937122643,0.0079408372,0.0102134207,0.016609937,0.3785047233,0.9599581957,0.0400418118,0.0028419434,0.0011535145,0.0033659788,0.0022324082,0.0007974971,0.0034940238,0.0023942022,0.0005015325,0.0001342936,0.0026395826,0.9972260594
11,bottlenecks/Clean clothes/Tops/plainshirts354.jpg.txt,0.0005335664,0.0001721184,0.0005526456,0.0012225809,0.0033360338,0.0086190812,0.0044288766,0.0038357547,6.4013889641501E-05,0.0006998498,0.9201261401,0.0061181188,0.00697699,0.0429094657,0.0003813358,2.33370919886511E-05,0.000761754,5.51941120647825E-05,0.0001160862,2.35761599469697E-05,0.0001170141,0.0002564545,0.0001955003,4.65368248114828E-05,1.98031211766647E-05,4.41516021965072E-06,2.16941930375469E-06,0.001340423,7.35714456823189E-06,1.70066523423884E-05,0.0001056812,5.90389354329091E-05,0.9968720078,4.31293919973541E-05,0.0011433003,0.0155086331,0.982867837,0.00000033,0.0004368588,0.0285137855,0.034771502,0.0443791561,0.9568777084,0.1322599053,0.079913862,0.0051458301,0.0476056524,0.8673347235,0.5156727433,0.0551063754,0.0009304632,0.2161313593,0.0337191708,0.9486643076,0.0513356328,0.0014455498,0.0004577623,0.0063880272,0.0100527816,0.0073613781,0.048469156,0.0023102798,0.0011572256,0.2141261846,0.0027164465,0.7831574082
12,bottlenecks/Clean clothes/Tops/singlets59.jpg.txt,0.001884119,0.0013859803,0.203635022,2.40568951994646E-05,0.753456533,0.0106140459,0.0086547071,5.8832662034547E-05,0.0007237705,0.0015078918,0.0001055033,0.0122324536,0.0029776327,0.002061547,0.0004811393,0.0001968079,0.1025369391,0.0002116274,0.1913881898,0.0001353142,0.0306745153,0.0045349887,0.0010590194,0.0001165516,0.015890738,1.57341874000849E-05,0.0002429237,0.2019781917,0.0001046901,0.0006465684,0.0016741626,0.0014398913,0.4473498762,0.0096283033,4.24322606704664E-05,9.90539192571305E-05,2.18043237509846E-06,0.9882578254,0.0019702411,0.0157179032,0.0364673845,0.4734995365,0.0039991653,0.0108044716,0.1921271086,0.2925350666,0.0012642577,0.5140735507,0.3946242332,0.10737551,0.0001921663,0.0168544408,0.0279328898,0.9765883684,0.0234116465,0.0001067331,0.0035446738,0.9359036088,0.0217744466,0.0017965586,0.0208836012,0.0054667518,0.004114714,3.68740875273943E-05,0.0009787456,0.9989843965
13,bottlenecks/Clean clothes/Tops/polos278.jpg.txt,0.0005014093,0.0005732329,0.0014321798,3.8522466638824E-05,0.9759705067,0.0160840228,0.003640621,0.0002964899,8.87897549546324E-05,0.0001724634,3.14684803015552E-05,3.53681425622199E-05,4.30538420914672E-05,0.0010813506,9.80528147920268E-06,8.13723659121024E-07,0.2050888091,0.0012411714,0.4635732472,0.0025502667,0.120490551,0.0546601862,0.0092959851,0.0005671972,0.0052855709,0.0036090827,0.0020289961,0.0244677514,0.0015762525,0.0175873954,0.0097660711,0.0120118763,0.0661996603,0.8197545409,0.0201217718,5.10706195200328E-05,3.54256826540222E-07,0.0005320463,0.159540087,0.0103148697,0.0660257265,0.6386166811,0.0015941589,0.0437557772,0.1653178781,0.0665557459,0.0026990476,0.7654272914,0.5415562391,0.0017945427,0.0090427613,0.0219101775,0.1911335737,0.9542506933,0.0457493402,0.0009777644,0.0035809251,0.8942963481,0.003943895,0.0023278811,0.0053039901,0.0001341612,0.0007286376,0.0028130761,0.0528251454,0.9443618059
14,bottlenecks/Clean clothes/Tops/graphictshirts448.jpg.txt,0.0236431416,0.022332849,0.1849602461,0.0524026006,0.187549293,0.092490837,0.0936353728,0.0551544838,0.0125371544,0.0041782642,0.1003166959,0.0217139665,0.0056944983,0.1242157593,0.0189165883,0.0002582877,0.0723389238,0.0009756673,0.105360575,0.0097690793,0.2871994674,0.0195205491,0.0063778474,0.0042053009,0.010641152,0.0199107211,0.0025005087,0.0481041782,0.0058021364,0.007865293,0.0210202094,0.0053782924,0.3730301559,0.997618854,0.0008377566,0.0002421567,2.71173462351726E-07,0.0001066359,0.0011943782,0.0300947055,0.0859531164,0.959951818,0.0319206491,0.0400367938,0.4648205936,0.1648361981,0.0059957351,0.3643473983,0.6595711708,0.0030429794,0.0029067998,0.066849649,0.0827649757,0.9972268939,0.0027730546,0.0006994988,0.0006717271,0.0134048751,0.0039804908,0.0038998427,0.0084690629,0.0018236032,0.0003317505,0.0004921444,0.0123499269,0.9871578813
15,bottlenecks/Clean clothes/Tops/polos365.jpg.txt,0.9798027873,0.0123775415,8.52058437885717E-05,1.43938723340398E-06,0.0005525175,0.0032359771,0.0013880967,0.0002746201,0.0007939911,1.28717165353009E-05,0.0002150836,0.0003761466,0.0001157451,0.0007180311,8.1642392615322E-06,4.17980918427929E-05,0.0162313003,0.0001315092,0.0191117264,3.66377707905485E-06,0.0011681422,0.0007715501,0.0003051329,2.30918340093922E-05,4.18356066802517E-05,8.33264130051248E-06,1.6891641280381E-05,0.0119500989,5.51630773770739E-06,0.0002043515,0.0006311277,0.0003279548,0.9490677714,0.1686081588,0.0001437306,0.7080599666,0.0250459909,8.29728014650755E-05,0.0980591774,0.0057979375,0.1026994437,0.142381072,0.0242605992,0.0085540153,0.0160361622,0.0400327705,0.0208949223,0.9230361581,0.3113867939,0.1529055387,0.0001569975,0.3817591071,0.0217828378,0.9917551279,0.0082448777,0.0005099215,0.0001516826,0.0374948233,0.0286337044,0.0322923027,0.2464286834,0.0098427199,0.0011687392,0.0017369875,0.0001044528,0.9981585145
16,bottlenecks/Clean clothes/Tops/longsleevetshirts9.jpg.txt,0.8313885331,0.0010490053,0.0992683098,0.0009814727,0.0179886054,0.0088241855,0.013094292,0.0044144057,0.0006582035,0.00011221,0.0005816564,0.0048162933,0.0001765466,0.0087694218,0.0077111097,0.000165742,0.105033733,0.0002334316,0.3307065368,0.0707669258,0.0085306801,0.0811145678,0.1715695858,0.0105977068,0.0115731582,0.0038283062,0.0011179238,0.0769992545,0.0089736283,0.0379922614,0.0415121652,0.0121719502,0.0272781905,0.0409034491,0.9430293441,0.0001712677,0.0009667685,0.0037785566,0.0111506125,0.9097963572,0.0649517849,0.8419921398,0.0004864969,0.0056293947,0.0196450818,0.0241836421,0.0302109066,0.925960362,0.1000277251,0.0207524318,0.0193715896,0.1310487539,0.2843694091,0.3320696056,0.6679304242,0.0031624206,0.003765235,0.0177036058,0.0089245122,0.0020242599,0.0007908738,0.0105740651,9.76719020400196E-05,1.8089680452249E-05,0.0022254444,0.9977565408
17,bottlenecks/Clean clothes/Tops/graphictshirts1357.jpg.txt,0.0503682233,0.0017576397,0.0082041519,0.0031528994,0.9204220772,0.003034173,0.0037449179,0.0004346714,0.0001651439,0.0006228709,0.0004075191,0.0050329403,0.0001293063,0.0023220102,0.0001287128,7.28515151422471E-05,0.0445917323,0.000143365,0.7750338316,0.000347348,0.0173239037,0.0019697004,0.0038718756,5.02148141094949E-05,0.0032186771,0.0006251888,0.0002887723,0.012932606,0.0005128988,0.0003093151,0.0004933723,0.0016097091,0.136677444,0.9461129308,0.0163255055,0.0005843325,2.29897723329486E-05,0.0002755464,0.0366787612,0.0034120197,0.2030715942,0.6900048852,0.0051925597,0.0311667677,0.1173962876,0.0121501796,0.0080226185,0.8624309301,0.6169654727,0.0343443342,0.0009581265,0.0735873133,0.0733873323,0.9874524474,0.0125475964,0.0002419194,0.0003940603,0.0519296713,0.0024736994,0.0025026761,0.0263537131,0.005729815,0.0015882161,0.0004623817,0.0023990893,0.9971385002
18,bottlenecks/Clean clothes/Tops/graphictshirts1312.jpg.txt,0.0042006066,0.0004307048,0.5715767741,0.0017761266,0.076449506,0.0013299375,0.3219737411,0.0013848167,0.0002347439,0.0002295354,0.000708805,0.0017388919,0.0012108019,0.0165084079,0.0002260246,0.000020544,0.5659675002,0.0027748295,0.0479009897,0.0078462008,0.1532945782,0.0259017367,0.0168877263,0.0115414755,0.0235609617,0.0079871845,0.002022163,0.0418786034,0.0063360389,0.0037491776,0.0129255429,0.0085794479,0.0608459003,0.9734555483,0.0231112074,0.0001319728,1.03834445326356E-05,0.0004530268,0.0028379897,0.9094600081,0.171534121,0.9920293093,0.0012257069,0.0092146751,0.4392180443,0.0582570322,0.0149889076,0.4875360131,0.1571664959,0.0039797365,0.013144712,0.0177182406,0.2925665975,0.9671720266,0.0328279622,0.0026310182,0.0011359081,0.0071553593,0.0037222249,0.0017065541,0.0015792842,0.0052865744,0.0005012809,0.0009181019,0.0196274873,0.9794544578
19,bottlenecks/Clean clothes/Tops/solidtshirts14.jpg.txt,0.0222855676,0.0152394669,0.0279774349,0.2106176317,0.062589936,0.074730821,0.0132702626,0.0944693163,0.0142711718,0.00333781,0.019241577,0.3171687424,0.0235896651,0.0931513533,0.007628819,0.0004304804,0.043943502,0.0009599819,0.0248450171,0.0032845298,0.0083102053,0.0038151529,0.0065804366,0.0005088846,0.0017674828,0.0010097626,0.0008542295,0.0161005538,0.0006199468,0.0006320994,0.0003249533,0.0107063539,0.8757368326,0.9961823821,0.002799745,0.000402691,2.84096367977327E-05,0.000043616,0.0005431162,0.0282611158,0.0238565113,0.9638385773,0.0010217086,0.0554257929,0.0047880504,0.2486816794,0.1866184622,0.5599117279,0.0638288856,0.0210446604,0.0080740964,0.0352653451,0.2039600015,0.9887413383,0.0112586934,0.0029687819,0.0008188355,0.0102919098,0.0048411214,0.0016082305,0.0040148324,0.0013568203,0.0006279863,0.0013803035,0.0317524299,0.9668672681
20,bottlenecks/Clean clothes/Tops/shortsleeveshirts328.jpg.txt,0.0082591474,0.3401674926,0.000830356,0.0013321848,0.5474546552,0.0149593214,0.002359363,0.0008488419,0.0018431882,0.0777623653,0.0025023289,0.0003427408,5.50651748199016E-05,0.0011984891,1.88247486221371E-05,6.56251650070772E-05,0.0073639397,0.0002314184,0.0095562572,3.43701867677737E-05,0.0002223704,0.0018108932,0.0011935214,0.0001389967,0.0003061752,0.0001165257,0.0001103147,0.0009482156,7.16053091309732E-06,0.001147897,9.59264289122075E-05,4.58534486824647E-06,0.9767113924,0.0031439802,0.000137724,0.946156323,0.0490654409,1.18289435704355E-05,0.0014847195,0.0376474261,0.0795076713,0.0628382191,0.7875700593,0.0722332224,0.0063567804,0.0212361421,0.0152802197,0.9571268559,0.6850627065,0.0874541402,0.0011456111,0.3570314944,0.0327811241,0.7354549766,0.2645450234,0.0014938135,0.0028067678,0.102010712,0.0490664393,0.016092008,0.2658734024,0.0171195436,0.0055515203,0.0696394369,0.000250031,0.9301105142
21,bottlenecks/Clean clothes/Tops/graphictshirts476.jpg.txt,0.0003720915,5.37951600563247E-05,0.0097802626,0.0002781027,0.0088063553,0.4147757292,0.4662630856,0.0044629797,0.0001303491,6.528188532684E-05,0.000807315,0.0082202377,0.0008623379,0.0849248022,0.0001890155,8.11736299510812E-06,0.0855234787,0.0002738773,0.0830526575,0.0005836751,0.0177564099,0.0501699448,0.0067118895,0.0010467039,0.0006535829,2.55759223364294E-05,0.0001760874,0.0194789991,0.0005283858,0.0014123032,0.0007694305,0.0072504757,0.7245865464,0.1537425369,0.0001299078,0.7227771878,0.101315774,1.78795507963514E-05,0.022016596,0.0257066302,0.2525294423,0.202567175,0.4289855361,0.2313403338,0.2390670925,0.0026688559,0.0041252244,0.7541388869,0.4364460409,0.0355722457,0.0011600417,0.3670571744,0.0932435393,0.9377982616,0.0622018129,0.0058510704,0.0146397604,0.1031514034,0.0070705842,0.0447478294,0.3660444617,0.3096985519,0.0042228308,0.1529393345,0.00185914,0.8452014923
22,bottlenecks/Clean clothes/Tops/shortsleeveshirts268.jpg.txt,0.9748116136,0.0004103131,0.0001756025,6.69344854031806E-06,0.0048287748,0.0108112236,0.0002663184,0.0017610437,0.0002085562,2.67879045168229E-06,0.0001893385,4.3834817915922E-05,1.04674745671218E-05,0.0064581395,1.35880982270464E-05,1.79276980816212E-06,0.0009029569,6.88914296915755E-05,0.0029237787,4.49329454568215E-05,0.00205082,0.0004155604,0.0002347404,0.0002191019,1.93494670384098E-05,3.14006974804215E-05,4.61227671166853E-07,0.0004807051,9.18651403480908E-06,5.12338629050646E-05,1.99340811377624E-05,2.27736018132418E-05,0.9925042391,0.0001048876,2.2496386009152E-05,0.839763701,0.1571873575,0.000002427,0.002919086,0.0335972533,0.0366934277,0.0601534545,0.0626459047,0.0505266935,0.0184054486,0.0081267953,0.0198896136,0.9535781741,0.426012069,0.0879648626,0.0004844887,0.38907969,0.1073878929,0.9173363447,0.0826636329,0.0018937286,0.0004275896,0.00270311,0.0015072648,0.0065797339,0.005839352,0.0009501192,0.0004321614,0.0016252875,0.0022249648,0.9961497784
23,bottlenecks/Clean clothes/Tops/shortsleeveshirts114.jpg.txt,4.4158619857626E-05,7.93143783539563E-07,0.0001368806,5.79385323362658E-06,0.0038812482,0.2141812295,0.7777045369,0.0004418594,1.46321845022612E-05,1.4115388466962E-06,0.0002491128,6.11784798820736E-06,9.78240677795839E-07,0.0032859528,4.49674334959127E-05,3.8110806599434E-07,0.0489213653,0.0011540235,0.0099618277,0.0001960126,0.0030450432,0.0123746851,0.002402138,0.0008366933,0.0003813587,4.22172124672215E-05,0.0001614306,0.0021928691,2.89258114207769E-05,0.0006116313,0.00388338,0.0003642923,0.9134420753,0.0727447495,0.0022871601,0.8474499583,0.0636180267,0.0026725284,0.0112276152,0.0135266511,0.6348706484,0.4467348456,0.0638998598,0.0087055229,0.0201729108,0.0413460433,0.0185486358,0.919932425,0.0283126906,0.1155337766,9.17695942916907E-05,0.4424100518,0.2499495894,0.7128198743,0.2871801257,0.0003189094,0.0001895731,0.0957519859,0.0629823133,0.0058925715,0.0090486994,0.048930537,0.0022744029,0.4636003971,0.0321745686,0.5042250156
