,bottleneck_dir,bottom-primary-color-white,bottom-primary-color-beige,bottom-primary-color-black,bottom-primary-color-brown,bottom-primary-color-grey,bottom-primary-color-blue,bottom-primary-color-navy,bottom-primary-color-teal,bottom-primary-color-green,bottom-primary-color-olive,bottom-primary-color-pink,bottom-primary-color-red,bottom-primary-color-maroon,bottom-primary-color-purple,bottom-primary-color-orange,bottom-primary-color-yellow,bottom-secondary-color-white,bottom-secondary-color-beige,bottom-secondary-color-black,bottom-secondary-color-brown,bottom-secondary-color-grey,bottom-secondary-color-blue,bottom-secondary-color-navy,bottom-secondary-color-teal,bottom-secondary-color-green,bottom-secondary-color-olive,bottom-secondary-color-pink,bottom-secondary-color-red,bottom-secondary-color-maroon,bottom-secondary-color-purple,bottom-secondary-color-orange,bottom-secondary-color-yellow,bottom-secondary-color-none,bottom-type-long pants,bottom-type-shorts,bottom-material-denim/jeans,bottom-material-cotton,bottom-material-dry-fit,denim-style-ripped,denim-style-acid-wash,denim-style-washed,bottom-patterns-animal-print,bottom-patterns-argyle,bottom-patterns-horizontal-stripe,bottom-patterns-vertical-stripe,bottom-patterns-checkered,bottom-patterns-dotted,bottom-patterns-floral,bottom-patterns-plaid,bottom-style-cargo,bottom-style-dress,bottom-style-chinos,bottom-style-sweatpants,bottom-style-none,bottom-fit-skinny-fit,bottom-fit-slim-fit,bottom-fit-regular-fit,bottom-fit-baggy
10,bottlenecks/Clean clothes/Bottoms/shorts200.jpg.txt,0.0049853586,0.0109903999,0.156290099,0.0111415209,0.024531493,0.0542876087,0.586222887,0.0923473909,0.0250775479,0.0288328379,0.0001730311,8.57857667142525E-05,0.0015228472,0.0021571177,0.0010283062,0.0003257155,0.0001547556,5.68397240385821E-07,0.0004687065,3.60567319148686E-05,0.0004941933,1.63574513862841E-05,0.0009891564,0.000000114,2.25542135012802E-05,9.22005710890517E-06,3.73461843992118E-05,2.8961290809093E-05,1.44072930652328E-06,3.85947117820251E-07,0.000080015,0.000001252,0.9976588488,0.0663913935,0.9336086512,0.8670929074,0.097809054,0.0350980423,0.1771351993,0.0116818398,0.1418687999,0.0141853429,0.0013431124,0.0014302499,0.0055842847,0.0011515274,0.0014037691,0.0044405689,0.0002409276,0.0416889712,0.0294246469,0.6720787883,0.0071677626,0.249639824,0.0183467921,0.722625494,0.2480389476,0.0109888138
11,bottlenecks/Clean clothes/Bottoms/jeans82.jpg.txt,0.000284611,0.0110919885,0.4881126881,0.0055382429,0.2274772823,0.0356873721,0.2239890099,0.0007941368,0.0013862691,0.0019538512,3.05460634990595E-05,2.19104640564183E-05,0.0004917876,0.0030169715,5.06300821143668E-05,7.27153965272009E-05,0.0012575459,2.50379707722459E-06,0.0045343204,2.62672238022787E-05,0.0005651916,0.0001213268,7.76449451223016E-06,3.89439122727708E-07,9.66484822129132E-06,4.00832823288511E-06,1.41604859891231E-05,0.0013470285,0.00000077,1.54529652718338E-06,0.0001271338,1.76824948994181E-06,0.9919786453,0.9969676137,0.0030324073,0.6825459599,0.3037294745,0.0137245078,0.212619409,0.0019217768,0.0175454151,0.0019391164,0.0019162466,0.0027403776,0.0036265615,0.001332034,0.0002766133,0.00039501,0.0005748692,0.0075120269,0.0023031512,0.0032631925,0.0097635137,0.9771580696,0.2402344346,0.4583703876,0.293551892,0.007843161
12,bottlenecks/Clean clothes/Bottoms/jeans138.jpg.txt,0.0001617591,0.0006304145,0.0192450676,0.0003472228,0.024505781,0.5597051382,0.3837484717,0.0036138087,0.002267953,0.0032746687,6.7984287852596E-06,6.78887909089099E-06,0.0002540673,0.0014289129,7.3105824412778E-05,0.0007300707,0.0003998033,0.0001808364,0.0028132091,0.0001774059,0.0011996358,0.0001653231,7.81014532549307E-05,1.20313607112621E-05,0.0001626695,1.42424423756893E-05,8.71361917234026E-05,0.0004968033,7.62355330152786E-06,2.53877915383782E-05,0.0006701706,7.4592542659957E-05,0.9934350252,0.9923539162,0.0076460727,0.9458637238,0.0482478999,0.0058883848,0.241082713,0.0246718656,0.5496520996,0.0042795171,0.0041117393,0.0061205388,0.0043868017,0.0016872621,0.0021143851,0.0025355588,0.0019907497,0.0116356146,0.0080076717,0.0062697819,0.0187992956,0.9552876353,0.0597716942,0.4750000834,0.4588952065,0.0063329469
13,bottlenecks/Clean clothes/Bottoms/pants503.jpg.txt,0.0033986797,0.0070545287,0.0882714987,0.0150225125,0.5660208464,0.0930510089,0.1517819762,0.0124829123,0.0019026212,0.0341241844,0.0003632505,0.0032418522,0.0027713699,0.0185192507,0.0017617848,0.0002317324,0.2715367973,0.0001935534,0.0146996956,3.50202353729401E-05,0.0863611102,0.0005400473,0.01775028,4.1099643567577E-05,0.0039280285,0.0005120546,0.0042912751,0.010018575,0.0002305835,0.0001534317,0.00539173,0.0030122297,0.5813045502,0.9480788112,0.0519211851,0.1632303447,0.8129807115,0.0237889402,0.0913892686,0.0614435896,0.2302809507,0.7055351138,0.011452185,0.0217077807,0.0277821608,0.4035444558,0.3369949162,0.0192761496,0.0084732613,0.0028615189,0.0320744142,0.0661416277,0.2675276399,0.6313948035,0.0013312903,0.6613607407,0.3072173297,0.0300907064
14,bottlenecks/Clean clothes/Bottoms/pants185.jpg.txt,0.0011775244,0.0026907187,0.0402595364,0.0029007753,0.8661049008,0.0115862489,0.0625545233,0.0020640397,0.0023828244,0.0053546564,3.03267206618329E-05,1.31608248921111E-05,0.0007107157,0.0018992281,0.0002324524,3.82246653316542E-05,0.0020565642,1.79251182998996E-05,0.0067148525,0.000007913,0.004423358,0.0001353195,0.0003357343,7.34092282073107E-06,7.36488800612278E-05,5.9617400438583E-06,4.68738908239175E-05,0.0014920684,2.46369427259197E-06,1.30736304981838E-06,0.0001739409,4.19790922023822E-06,0.9845005274,0.992002964,0.0079970984,0.4916469455,0.4058519304,0.1025011912,0.2550930083,0.0077372994,0.0376099534,0.0096009476,0.0037988126,0.0026084399,0.0125200776,0.003192544,0.0009663666,0.0005104231,0.0008561939,0.0206145439,0.0423501655,0.0208320357,0.444013685,0.4721896648,0.1004931778,0.5743506551,0.2959994078,0.0291568004
15,bottlenecks/Clean clothes/Bottoms/jeans302.jpg.txt,4.45425976067781E-05,0.0002587666,0.8504044414,0.0006069344,0.0575775355,0.0167939588,0.0618701428,0.0023973766,0.0005528773,0.003173949,4.11386554333149E-06,4.69238511868753E-05,0.0010452369,0.0050880937,1.95241318579065E-05,0.0001154196,0.000532775,4.54612882094807E-06,0.0028559139,0.000015869,0.0006612822,0.0003289195,2.8955228117411E-05,2.58743568792852E-07,1.44419473144808E-05,8.86918041942408E-06,3.94380767829716E-05,0.0005550329,7.25678205526492E-07,5.43568432931352E-07,0.0001482203,7.71458530834934E-07,0.994803369,0.9976206422,0.0023793457,0.7524987459,0.1913766414,0.0561245978,0.0753039345,0.002648259,0.0109450985,0.002737826,0.0002603594,0.0012093604,0.0018615952,0.0014089892,0.0007220528,0.0010783559,0.0002476583,0.0080400659,0.0163172521,0.005301808,0.0262814052,0.9440594316,0.0478431135,0.8020386696,0.1370814443,0.0130368462
16,bottlenecks/Clean clothes/Bottoms/pants277.jpg.txt,0.0086375605,0.0956358984,0.0011456055,0.0154632349,0.7921450734,0.0147899333,0.0005456615,0.0007886956,0.0049083368,0.0192465819,0.0018440894,0.0003892704,0.0164001621,0.0275303349,0.0004984136,3.11246149067301E-05,0.062337514,6.30526847089641E-06,0.0150783081,3.07675145450048E-06,0.0193118509,6.10924544162117E-05,0.0160802603,4.39167297372478E-06,0.0002582894,7.28786762920208E-05,0.0012810732,0.0088694701,1.40384318001452E-05,1.0428213954583E-06,0.0001018667,7.12474638930871E-06,0.8765114546,0.931979239,0.0680207685,0.2188609838,0.6259362698,0.1552027911,0.1172569618,0.0086878128,0.0040466841,0.0244156774,0.0037954024,0.0019959908,0.0106867384,0.0657692701,0.0065276427,0.0010101373,0.0003935311,0.0001759446,0.0002042487,0.0008186052,0.9846744537,0.0141267115,0.0161869135,0.7028688788,0.1596206725,0.1213235259
17,bottlenecks/Clean clothes/Bottoms/jeans314.jpg.txt,6.99912779964507E-05,0.0033410434,0.2032284439,0.0030264982,0.6649926305,0.0079363957,0.0099804029,0.0002349287,0.0008201842,0.1046978608,2.32851675718848E-06,3.49085394191206E-06,0.0001704725,0.0014347342,4.20184369431809E-06,5.65036352782045E-05,0.0018012528,1.0850508402882E-07,0.0280977804,1.87181524324842E-06,0.00007421,4.89731803554605E-07,1.42485112064605E-06,0.000000009,5.97679047587008E-07,1.12687850162274E-07,1.9889139366569E-05,4.06973849749193E-05,5.18864382570428E-08,4.55804682886196E-09,1.10450546344509E-05,1.62999711506018E-08,0.9699504972,0.9889386892,0.0110613583,0.8224853873,0.1654943675,0.0120202424,0.007826224,0.0051931683,0.0062990705,0.0308673363,0.0001569696,0.0003388078,0.0042669177,0.0039695036,0.0002254696,2.86611866613384E-05,2.73037021543132E-05,0.0441051237,0.0089532053,0.0431029908,0.0175512694,0.8862874508,0.0013799592,0.869803369,0.1096484214,0.0191681907
18,bottlenecks/Clean clothes/Bottoms/shorts79.jpg.txt,0.008077234,0.0049588112,0.8001204133,0.0099077104,0.0266405232,0.0156267453,0.0714829043,0.0095319049,0.0026013909,0.0012547658,0.0005910741,0.0044758171,0.0186615735,0.0204807818,0.0035601351,0.0020281805,0.0866952762,2.73237901637913E-06,0.0047977343,0.0007497586,0.2362359613,0.0009405296,0.0004501668,0.000000524,0.0012014147,0.0011733237,0.0045888354,0.036813952,7.94107745605288E-06,0.000488177,0.0341199562,0.000066304,0.5916673541,0.0003709707,0.9996290207,0.4377012253,0.3193458617,0.2429529279,0.2715112269,0.0232573077,0.1139187068,0.0034582992,0.0008897654,0.0153171457,0.0149644446,0.0254799724,0.081524983,0.0158896148,0.0062610698,0.0008279817,0.0081846155,0.0951065421,0.0081064831,0.8877744079,0.0051697404,0.8719009757,0.0992410779,0.0236882512
19,bottlenecks/Clean clothes/Bottoms/shorts57.jpg.txt,3.10698269458953E-05,0.0001532543,0.9909706116,0.0002664411,0.0013666671,0.0020666779,0.0024053464,0.0002898028,1.80231781996554E-05,3.90732275263872E-05,5.9257243265165E-05,0.0017300494,6.05308487138245E-05,0.0004404662,3.63372487299785E-06,9.90448825177737E-05,0.0019976585,5.63734126046711E-08,0.000798807,2.10854963711427E-07,0.0012095226,0.0003780858,3.2108323466673E-06,0.00000001,2.35636252909899E-06,9.25180665944936E-06,0.000152858,0.0006647545,0.000000064,0.000000053,7.07645376678556E-05,2.03138501575495E-08,0.9947123528,0.000598589,0.9994014502,0.3979682028,0.5275360346,0.0744958445,0.0511123762,0.000997179,0.0474730916,0.0176797733,0.0003535023,0.0006071895,0.0014373782,0.0117730927,0.0050521954,0.0002673732,0.0001319466,0.0033555028,0.0005735653,0.0010445185,0.0218832586,0.9731431603,0.0302715544,0.8856397867,0.0446868874,0.0394017361
20,bottlenecks/Clean clothes/Bottoms/shorts122.jpg.txt,0.0471002273,0.0536967851,0.0151333557,0.0148629146,0.0052429405,0.0057347878,0.0305549316,0.0026605148,0.0147502962,0.0003552496,0.0004233472,0.0013927897,0.0035350993,0.0066904477,0.7977417111,0.0001247356,0.0074676662,4.07626384912874E-06,0.0017831869,0.0002802284,0.0289018489,0.0001490099,0.0096720746,5.81464234983287E-07,0.0009456653,8.63024542923085E-05,0.0025938337,0.0030717773,8.55435519042658E-06,3.93424525100272E-05,0.0019225874,3.44818472512998E-05,0.9430387616,0.0448902249,0.9551097751,0.5379561782,0.2966391742,0.1654046327,0.3157711625,0.0328041315,0.016430499,0.0154960826,0.0025003343,0.0020920956,0.0202675872,0.0459538624,0.0046025394,0.0415861793,0.0055176122,0.0005608221,0.0147869932,0.86066401,0.0204845686,0.1035036519,0.0079751741,0.8050271273,0.1589635164,0.0280341953
21,bottlenecks/Clean clothes/Bottoms/shorts28.jpg.txt,0.0002684132,0.001702577,0.022062242,0.0008901706,0.023807846,0.8512970805,0.0907728001,0.0074970387,0.0003513396,0.0002967423,1.65720975928707E-05,4.68218458991032E-05,1.46618594953907E-05,0.0008499349,7.45464640203863E-05,5.12356673425529E-05,0.0037566307,1.6219530152739E-05,0.0013803111,1.39385729198693E-05,0.0004238201,6.16640827502124E-05,0.0001754372,2.14212877835962E-06,0.0002984533,4.0529303078074E-06,0.0001321015,0.0010508181,2.29593638323422E-06,1.27458224596921E-05,0.0002528509,4.2878669773927E-05,0.9923736453,0.3911187649,0.6088812351,0.7353191376,0.2429825217,0.0216982868,0.7152308822,0.0132448152,0.6586162448,0.0041904976,0.0044795279,0.0034882096,0.0272807926,0.0045426604,0.0028594339,0.0013528076,0.0032316337,0.0093437079,0.0061924038,0.017653862,0.0079348488,0.9588751197,0.5227584839,0.4293668568,0.0455896184,0.0022850076
22,bottlenecks/Clean clothes/Bottoms/pants312.jpg.txt,0.000875969,0.0024562052,0.8649368286,0.0105810314,0.0441899411,0.0066508371,0.0396130644,0.0072922171,0.0036636849,0.0110746855,1.9965063984273E-05,4.10913071391406E-06,0.0021265787,0.0044121891,2.94377550744684E-05,0.0020732295,0.0008845251,1.15518878374132E-06,0.0009681899,6.91009199726977E-06,0.0014246725,8.21445210021921E-05,8.80072184372693E-06,7.14067525109385E-08,9.63377374318952E-07,8.01137957751052E-07,1.04177697721752E-05,0.0004022386,3.27156783441751E-07,2.47607783165904E-08,5.9242165661999E-06,1.15689807955732E-07,0.9962027669,0.9982718229,0.0017281543,0.5298167467,0.4132013321,0.0569819063,0.0172547493,0.0032409457,0.0067435359,0.0012227433,0.0011826679,0.0002210302,0.0093203895,0.0016623084,0.0004364891,0.0001936202,0.0001178758,0.0084229782,0.6222376823,0.0211429577,0.0207276102,0.3274687231,0.0162059888,0.7076300383,0.2713647485,0.0047992757
23,bottlenecks/Clean clothes/Bottoms/pants219.jpg.txt,0.0012872783,0.0005936534,0.8209314942,0.0004981155,0.0453712195,0.0112281721,0.1117229387,0.0030444907,0.0003774318,0.0021054028,2.98936402032268E-06,1.07930895865138E-06,9.78930838755332E-05,0.0016377282,0.000055897,0.0010442308,0.007490424,0.000027175,0.0077623622,6.01687061134726E-05,0.0294482522,0.0007535764,2.50546036113519E-05,0.000001209,6.57546479487792E-06,3.45485022990033E-06,7.73747233324684E-05,0.0010772584,1.15755437946063E-06,3.97506755689392E-06,8.10505953268148E-05,4.84737574879546E-06,0.9531760812,0.9938338995,0.0061660954,0.6258517504,0.3552309871,0.0189172607,0.0279888567,0.0132143069,0.0200484116,0.003076813,0.0016096913,0.002331035,0.0632719696,0.0040275534,0.0007126731,0.0004380932,0.0003705499,0.0035445848,0.8624722958,0.0052716034,0.0086734118,0.1200381368,0.0670735464,0.598223567,0.3204234838,0.0142793674
24,bottlenecks/Clean clothes/Bottoms/jeans229.jpg.txt,0.0001468078,5.97456528339535E-05,0.0810879618,0.0002457449,0.0138358437,0.2134918123,0.6828102469,0.0032502795,0.0008113398,0.0005057986,7.08097843471478E-07,0.000017527,0.0001257584,0.0030357828,4.5962482545292E-05,0.0005286653,0.0003872469,0.0001368884,0.0031103177,7.61287374189123E-05,0.001067158,0.0002243852,0.0001231247,9.89753516478231E-06,0.0002500709,8.32254663691856E-05,0.0001194065,0.0005524444,8.40629127196735E-06,1.88613594218623E-05,0.0008172333,0.0001205212,0.9928947091,0.9892328978,0.0107670501,0.8049426079,0.1842355132,0.0108219283,0.0963314846,0.0137625635,0.4519032538,0.002318606,0.0020357254,0.0050771986,0.0076082814,0.0015630964,0.001645947,0.0028838809,0.0009948025,0.0024956525,0.0034712604,0.0014477157,0.0039386861,0.9886466861,0.0725599974,0.3954762518,0.5241481066,0.0078155799
25,bottlenecks/Clean clothes/Bottoms/shorts363.jpg.txt,0.0044499696,0.0299445018,0.1310264617,0.0110039543,0.1419311464,0.0507821217,0.4789708257,0.0366730057,0.016819302,0.0115025528,0.0006633588,0.0068951538,0.0179503877,0.0461311713,0.0117804278,0.0034756123,0.0010964619,2.26358451982378E-06,0.0011137447,8.75428013387136E-05,0.0047164429,0.000789094,9.12200775928795E-05,3.26203384304335E-08,3.48843750543892E-05,3.83938568120357E-05,0.0001256439,0.0015918254,1.88971637271607E-06,1.68329042935511E-05,0.0002014609,5.75566673433059E-06,0.9900864959,0.0347048528,0.965295136,0.63444978,0.1052679196,0.2602823377,0.0120251086,0.0094980337,0.0606713407,0.0006877692,0.0012187271,0.0034166863,0.0052439705,0.0048333397,0.0052535837,0.0043459022,0.0010112147,0.0020964961,0.0184496511,0.898491323,0.0006555688,0.0803068876,0.0052044303,0.9606972933,0.0307316538,0.0033666221
