,bottleneck_dir,shoes-primary-color-white,shoes-primary-color-beige,shoes-primary-color-black,shoes-primary-color-brown,shoes-primary-color-grey,shoes-primary-color-blue,shoes-primary-color-navy,shoes-primary-color-teal,shoes-primary-color-green,shoes-primary-color-olive,shoes-primary-color-pink,shoes-primary-color-red,shoes-primary-color-maroon,shoes-primary-color-purple,shoes-primary-color-orange,shoes-primary-color-yellow,shoes-secondary-color-white,shoes-secondary-color-beige,shoes-secondary-color-black,shoes-secondary-color-brown,shoes-secondary-color-grey,shoes-secondary-color-blue,shoes-secondary-color-navy,shoes-secondary-color-teal,shoes-secondary-color-green,shoes-secondary-color-olive,shoes-secondary-color-pink,shoes-secondary-color-red,shoes-secondary-color-maroon,shoes-secondary-color-purple,shoes-secondary-color-orange,shoes-secondary-color-yellow,shoes-secondary-color-none,shoes-type-boat/loafer,shoes-type-boots,shoes-type-sneakers,shoes-type-sport,shoes-type-sandals,shoes-type-dress-shoes,shoes-type-casual-shoes,shoes-others-toe-cap,shoes-others-gum-sole,shoes-others-with-logo,shoes-others-high-cut,shoes-materials-leather,shoes-materials-canvas,shoes-materials-suede,shoes-materials-rubber
10,bottlenecks/Clean clothes/Shoes/shoes1563.jpg.txt,0.0025798932,0.0006281896,0.8612357974,0.0055524423,0.040691644,0.0125038074,0.0668788999,0.0002695385,0.0013487953,0.0052255746,8.58491421240615E-06,0.0008084818,0.0006029864,0.000560849,0.0009973607,0.0001071469,0.3197320104,0.08557491,0.076386109,0.0989873037,0.0240133237,0.0013768147,0.0821631774,0.0045009656,0.0027811003,0.0002829878,0.0027751364,0.0050367918,0.0015936617,0.0016280629,0.036923945,0.0045957351,0.2516479492,0.0210423153,0.0033901362,0.875736773,0.0444892645,0.0005261841,0.0203486327,0.0344667546,0.0202805009,0.026627548,0.3405516744,0.0510439426,0.6394639611,0.21360448,0.1459815502,0.0009499916
11,bottlenecks/Clean clothes/Shoes/shoes1685.jpg.txt,0.0041694255,0.0141078923,0.0005371121,0.0026837131,0.0143592795,0.8938897252,0.0372881144,0.00424346,0.0203474239,0.0019749356,0.0014653379,0.0010658868,0.002423601,0.0004545019,0.0007696828,0.0002198609,0.7045761347,0.0416628011,0.0057505108,0.0586883649,0.0023073305,0.0472805537,0.0506575666,0.0027632373,0.0318319872,2.77754497801652E-05,0.0027219958,0.0007172037,4.39936047769152E-06,0.0002864532,5.58890133106615E-06,0.0001204013,0.0505977161,2.83124194311313E-07,2.84827251562092E-06,0.9923173189,0.0061563221,3.11292642436456E-05,0.000030038,0.0014620462,0.0068798405,0.7894394398,0.9673011899,0.0774585232,0.0247966126,0.1277877539,0.8281977773,0.0192178488
12,bottlenecks/Clean clothes/Shoes/shoes1949.jpg.txt,0.00606251,0.0080235703,0.522515893,0.1783849597,0.0355178565,0.0364485607,0.133484751,0.0126234004,0.0049813092,0.0028197675,0.0001001052,0.012382797,0.0432466269,0.0007971214,0.001856072,0.0007545954,0.071537219,0.003122027,0.0887985379,0.1489707828,0.0046992409,0.0034519073,0.0098965261,0.0001383305,0.0010585258,0.000072817,0.0002027052,0.001602263,0.0015279447,0.0001084734,0.0025153761,0.0005886899,0.661708653,0.0051533813,4.39662471762858E-05,0.0284805447,0.0008099698,5.26635376445483E-05,0.9452698231,0.0201896653,0.0182398167,0.0038863313,0.0561525337,0.0025414748,0.9161359668,0.0109281214,0.0728083998,0.0001275823
13,bottlenecks/Clean clothes/Shoes/shoes376.jpg.txt,0.7293250561,0.0077783307,0.1504031867,0.0075925072,0.063555494,0.0045582964,0.0185028315,0.0005061924,0.0063650901,0.0007533978,0.0019253106,0.0036674619,0.0005096782,0.0024716596,0.0010207102,0.0010647932,0.3019635081,0.0109502841,0.3669660687,0.0257992204,0.0042604059,0.0103624174,0.0164617077,4.25916259700898E-05,0.0071929917,0.0003875104,0.0010382934,0.0029758951,3.30217299051583E-05,0.0001386208,8.79680442267272E-07,0.0029681874,0.2484583557,0.0001335775,0.000144958,0.9777957797,0.0083830943,0.0105724018,0.0007381229,0.0022320205,0.0371615067,0.0017868885,0.4752751887,0.0068137371,0.3367623687,0.5083016157,0.0548928045,0.1000431925
14,bottlenecks/Clean clothes/Shoes/shoes1391.jpg.txt,0.01193194,0.1201772168,0.0437292717,0.0135090072,0.0747547001,0.0381411053,0.0266542155,0.0090132859,0.5156058073,0.1182160825,0.0003125303,0.0048079155,0.014342078,0.0007099867,0.0059378892,0.0021569727,0.4895907044,0.0039967648,0.0112265246,0.0285982359,0.0127843274,0.0019514069,0.0022300594,0.0005960783,0.0049888594,0.000046508,0.0001526957,0.0034702397,2.63936931332864E-06,0.000210258,0.3873383999,0.0003071379,0.0525091588,9.74819499788282E-07,6.96684728609398E-05,0.9841729403,0.014986407,4.87182023789501E-06,0.0001416344,0.000623486,0.049325861,0.0647198856,0.9203866124,0.0356347151,0.262940973,0.0931598395,0.6428010464,0.0010981507
15,bottlenecks/Clean clothes/Shoes/shoes978.jpg.txt,0.1822725832,0.0213059932,0.0025017504,0.008378068,0.700596869,0.0253151301,0.0285493936,0.0005373596,0.0022286195,0.0028431015,0.0002524366,0.007974443,0.0081001418,0.0023982688,0.0051246197,0.0016212253,0.8472899795,0.0089463713,0.0171355456,0.0023836826,0.0394799933,0.00658852,0.0236901436,0.0009905236,0.0039737462,7.90142948972061E-05,0.0021022859,0.0296195075,5.01852537126979E-06,0.000085645,0.0002390496,0.0005870945,0.0168038439,1.307392039962E-06,4.50855004601181E-05,0.9767321944,0.0231078956,2.19944085984025E-05,4.52983385912376E-06,8.69468567543663E-05,0.1207636148,0.2642115951,0.8832135797,0.6176238656,0.1003224924,0.1250611842,0.7721129656,0.0025033748
16,bottlenecks/Clean clothes/Shoes/shoes2059.jpg.txt,0.0040757866,0.0012485961,0.9337059855,0.0151786571,0.0311907809,0.0014882506,0.0084285839,0.0001692907,0.0001974918,0.0004043147,0.0002055592,0.0008344895,0.0012596376,0.0004489229,0.0010656603,9.79838514467701E-05,0.0301727466,0.0013976523,0.0665172189,0.4134584963,0.0085024405,0.0030587651,0.0113059944,4.2800838855328E-05,0.0003663744,0.0001435959,0.0003552537,0.0006573587,0.0001646781,0.0012226661,0.0001212871,0.0003171566,0.4621955454,0.0003895438,0.0099351145,0.0439279526,0.0005934041,1.99151872948278E-05,0.9358614087,0.0092726303,0.0220939144,0.0150425658,0.0401062705,0.115685001,0.9601758718,0.006259237,0.0335064903,5.83411092520691E-05
17,bottlenecks/Clean clothes/Shoes/shoes1482.jpg.txt,0.0182847362,0.0048525035,0.8154280186,0.011133139,0.0393076874,0.012688552,0.0452223681,0.0052589825,0.0051287874,0.0121865002,3.64911174983717E-05,0.0035608124,0.0223161075,0.0022979088,0.0015791653,0.0007182962,0.5382120609,0.0133777503,0.010467194,0.0171072669,0.0303466637,0.0009471605,0.030457072,0.0014818583,0.0028062451,2.01618076971499E-05,0.001428506,0.0142802112,6.48426721454598E-05,0.0013410232,0.0630896837,0.00093796,0.2736342549,0.0009043548,0.0006490408,0.91899544,0.0779458508,1.23879335660604E-05,0.0005705075,0.0009224685,0.0169994868,0.0544553883,0.7817488909,0.2549490333,0.5154875517,0.1133499518,0.3708897233,0.0002728045
18,bottlenecks/Clean clothes/Shoes/shoes1268.jpg.txt,0.01754684,0.5651176572,0.0097584315,0.2947288752,0.014080869,0.0160136353,0.0173167661,0.0005436862,0.0026909458,0.0104029896,0.0087304246,0.0134955524,0.0075863544,0.0009426436,0.0193642881,0.0016800216,0.1266379803,0.0416965336,0.1282898635,0.1956021041,0.0188420191,0.0069506983,0.0390324481,0.0013389536,0.0016804462,0.0005066275,0.0006383348,0.0045460076,8.28091724542901E-05,0.001141552,0.01543862,0.0001704213,0.4174045622,0.0009437437,0.0165658109,0.7689706683,0.008314983,0.0006492508,0.1425352395,0.0620202571,0.0076783556,0.1541610211,0.2046404034,0.0696254224,0.909047544,0.021542808,0.0688295141,0.0005800356
19,bottlenecks/Clean clothes/Shoes/shoes277.jpg.txt,0.0067536603,0.0207178667,0.7989401817,0.1255576462,0.0210151095,0.0028366924,0.0093310438,0.0002862853,0.0002091378,0.0019316188,0.0021595517,0.0040157889,0.0028219933,0.0003108829,0.0024635314,0.0006490404,0.0179092083,0.0025980519,0.0480710976,0.3199428916,0.0028824052,0.0107249245,0.0057390211,0.0001679267,0.0002833653,0.0001187393,0.000076522,0.0004720414,0.0002385,0.001071319,2.98212744382909E-05,2.3719518139842E-05,0.5896504521,6.74914990668185E-05,0.017708974,0.0045814123,0.0007823955,3.22112755384296E-05,0.9648507237,0.0119768698,0.0034419126,0.0061232946,0.0114458594,0.1374186128,0.9705431461,0.0032888784,0.0260230377,0.0001449206
20,bottlenecks/Clean clothes/Shoes/shoes1933.jpg.txt,0.3154657483,0.1323393583,0.1525346041,0.0785795599,0.0542033799,0.0037982236,0.0275825579,0.0093460493,0.0028528129,0.0204284508,0.0120365145,0.0393412262,0.1242166832,0.0025540907,0.01219544,0.0125252726,0.0270258375,0.0212898701,0.1406319141,0.6677091718,0.0095668817,0.0016711163,0.0035225248,0.0002609095,0.0022407237,0.0003012695,4.58396680187434E-05,0.0010303264,0.0012746319,0.000047355,5.67653614780284E-07,0.0005591788,0.12282186,8.41739456518553E-05,0.2277414203,0.0410009213,0.0054819649,0.0005758216,0.0750760138,0.6500397325,0.0157480985,0.0029163042,0.0909617916,0.4999998808,0.5926926136,0.1399885565,0.267078191,0.000240644
21,bottlenecks/Clean clothes/Shoes/shoes170.jpg.txt,0.0004667033,0.0007431603,0.9804965854,0.001679942,0.0061690174,0.0025921878,0.0032687332,0.0001005403,0.0003225651,0.0002654265,2.62718840531306E-05,0.0005924999,0.0028673811,0.0002083597,0.0001324157,6.81505844113417E-05,0.1664915085,0.0094031096,0.0378973037,0.0337298773,0.0113458615,0.0027632832,0.0063002696,0.0002826128,0.0007411955,0.000227969,0.0001737671,0.0032144338,0.0085469233,0.0004704853,0.0013922177,0.0020240813,0.7149951458,0.0291394889,0.0008493856,0.0344523378,0.0236684047,0.0005542571,0.891254127,0.020081887,0.0342153199,0.004853121,0.0574464872,0.0406255014,0.6737168431,0.0591568686,0.2665017247,0.0006245583
22,bottlenecks/Clean clothes/Shoes/shoes538.jpg.txt,0.0008259024,0.0180874225,0.0425894037,0.8621433973,0.0287204273,0.0019540917,0.0033190753,7.27118458598852E-05,0.0003054114,0.0117413457,0.0105946679,0.0021357154,0.004995726,0.0004260432,0.0116058886,0.0004828407,0.0115569038,0.0651663244,0.3929628432,0.0433251373,0.0358087905,0.007248905,0.0130504072,0.000703046,0.0002804926,0.0001854462,0.0001189614,0.0004507511,0.0009300272,0.0064338059,0.0004299162,6.50723741273396E-05,0.4212831557,1.48474464367609E-05,0.9896510839,0.0005692533,3.38740901497658E-05,5.2815644266957E-06,0.0025723677,0.0071532899,0.0106307827,0.0145339258,0.0199266244,0.9717081785,0.5781413317,0.0086327596,0.413100183,0.0001257755
23,bottlenecks/Clean clothes/Shoes/shoes935.jpg.txt,0.076287888,0.2330291122,0.1202300116,0.125496313,0.1424001157,0.0488763005,0.1055955961,0.0002442586,0.0132819861,0.0081893057,0.0494859591,0.0323738754,0.036487259,0.001842143,0.0049981014,0.0011817655,0.3447212279,0.0083563467,0.1504495293,0.2099370509,0.0005846999,0.0088443793,0.0575327985,0.0001011146,0.0024531176,0.0002484212,0.0003610673,0.0665590987,1.78941700141877E-05,6.15971875959076E-05,9.56263761509035E-07,0.0027438172,0.1470269114,0.0032604781,0.0004564305,0.2177264243,0.0026346305,0.1229634136,0.0174822453,0.6354763508,0.0076159937,0.0050732093,0.0693130195,0.0232411306,0.0833205283,0.1355069727,0.735489428,0.0456830598
24,bottlenecks/Clean clothes/Shoes/shoes181.jpg.txt,0.000250895,0.0003060235,0.9762193561,0.0114506856,0.0084514841,0.00032567,0.0018397225,9.23356565181166E-05,1.05258268376929E-05,0.0002120246,5.74303630855866E-05,0.0002089042,0.0003746023,3.53915384039283E-05,0.0001314691,3.34539436153136E-05,0.0195217375,0.0006892208,0.0106564518,0.0374627672,0.0032788012,0.0011443818,0.002458252,0.000016094,0.0001244547,1.19844771688804E-05,2.73506375378929E-05,0.0008637449,2.46546824200777E-05,0.0001858086,0.0001551598,1.58742805069778E-05,0.923363328,0.000148412,0.0292517282,0.0363599062,0.0028702011,8.30870249046711E-06,0.9021443129,0.0292170923,0.0150576718,0.0050659142,0.033790011,0.1168621331,0.9067265391,0.0099862022,0.0832595229,2.76476348517463E-05
25,bottlenecks/Clean clothes/Shoes/shoes247.jpg.txt,0.0013077933,0.0276676882,0.1427107602,0.5167793632,0.0142899267,0.005488479,0.0176536795,0.0022816709,0.0013708903,0.0277021769,0.0067609572,0.1326418817,0.0859790146,0.0014565876,0.0114973271,0.0044118208,0.0329751559,0.0172241088,0.2761647403,0.3246496022,0.0628333613,0.0034263011,0.0141520854,0.0007413556,0.0006106743,0.000479846,0.0001618924,0.0052801999,0.0010374682,0.0029053828,0.006764018,0.0003022644,0.2502915561,0.0044322778,0.0328302495,0.0142347142,0.0030978573,0.0006556376,0.8771401644,0.0676091164,0.0084201489,0.0099388026,0.0719939396,0.051981587,0.8901484609,0.0130586289,0.09647917,0.0003137622
26,bottlenecks/Clean clothes/Shoes/shoes1475.jpg.txt,0.0007890572,0.0031193937,0.0819399059,0.186738953,0.1541683525,0.0037936396,0.0105467457,0.0001229745,0.004118544,0.5470622778,0.0001365264,0.0012247759,0.0037326743,0.0010037761,0.0013488438,0.0001535239,0.3864800632,0.022114601,0.0790773183,0.0436955132,0.0884215012,0.0020318285,0.0136234555,0.0007131695,0.0022943281,0.0085758511,0.000771411,0.0031049121,3.23486965498887E-05,0.0007151391,0.0014525095,0.0027796654,0.3441163301,0.0155572407,0.0010022334,0.8930858374,0.0079182079,0.0209817234,0.0051527983,0.0563019961,0.0175332483,0.1243096218,0.4289578199,0.0451924913,0.2030372769,0.0790701509,0.7129321694,0.0049604219
27,bottlenecks/Clean clothes/Shoes/shoes2082.jpg.txt,0.0025779174,0.0283461753,0.2210900784,0.6203961968,0.0255393796,0.0176727753,0.0237234794,0.0007622925,0.0028313959,0.0107835373,0.0027908112,0.0136386156,0.0162785314,0.0034368099,0.0097294822,0.0004024903,0.1084291339,0.0546199083,0.1642443538,0.0640348494,0.0138595598,0.0034967111,0.0122158183,0.0008773105,0.0013149685,0.0011138897,0.001223092,0.0023179285,0.0013908239,0.0013179249,0.0042718286,0.0004842026,0.5647877455,0.0357714668,0.0110020544,0.0769229382,0.0016545721,0.0021105623,0.3905233741,0.4820149839,0.0065437299,0.016698299,0.1709918231,0.0193212181,0.8533105254,0.0249951612,0.1198645756,0.0018298075
28,bottlenecks/Clean clothes/Shoes/shoes1885.jpg.txt,0.0076358914,0.0301268511,0.262257725,0.1835595369,0.1786273867,0.0459649824,0.2197997719,0.0018235056,0.0027655894,0.0351384841,0.000611529,0.0098419925,0.0084607629,0.0021525454,0.009831096,0.001402364,0.1711273789,0.0631551221,0.0857414529,0.2135306001,0.079656139,0.0049374313,0.0506676845,0.0003830002,0.0026908042,0.0049149394,0.0007278027,0.0038587127,0.0003080688,0.0007597336,0.0026568933,0.0076670782,0.3072171509,0.3193843067,0.0042073536,0.2397968173,0.0036287194,0.003418806,0.0174044408,0.4121595025,0.0236006286,0.0083613396,0.2541173995,0.0202456936,0.1391529441,0.1163021252,0.7427413464,0.0018035071
29,bottlenecks/Clean clothes/Shoes/shoes53.jpg.txt,0.0014152285,0.0145120062,0.8129241467,0.0359134674,0.0468006954,0.0020422996,0.0171642229,0.0021680715,0.0001706723,0.0068134503,0.0003060011,0.0046828492,0.0501477309,0.0008208653,0.0030593742,0.0010588377,0.1294459999,0.0048288079,0.3246977031,0.0666218773,0.0163324233,0.000988606,0.0153933419,0.0001892327,0.0017716272,0.0003390595,0.0006119961,0.002483346,0.0073146042,0.0002298385,0.0023152474,0.0018420735,0.4245942831,0.5514246225,0.0017035564,0.0259850658,0.0026585117,0.0012824411,0.4027121067,0.0142336078,0.0064975773,0.0029677122,0.0383410268,0.0069597471,0.8750169277,0.0223008879,0.1018034369,0.0008787587
30,bottlenecks/Clean clothes/Shoes/shoes1818.jpg.txt,0.0012588598,0.0012779306,0.9503012896,0.003771014,0.0108026015,0.003773316,0.0223852061,0.0006907173,0.001459108,0.0011993604,0.0002580557,0.0002856489,0.0013564299,0.0008890753,0.0002257681,6.5598389483057E-05,0.2181202322,0.0034740209,0.0061393315,0.0174470842,0.0140311876,0.0005343566,0.0054602856,3.32156787408167E-06,0.0010721611,7.91879137977958E-05,7.72448693169281E-05,0.0051289354,2.01371085495339E-06,0.0001602299,0.0003463466,0.0003907904,0.7275332212,0.0051641171,3.46051310771145E-05,0.965007782,0.0155246975,0.0001352057,0.0063855844,0.0077480115,0.0706829801,0.0149495918,0.6869773865,0.0130254487,0.3501091599,0.4065491855,0.2392131984,0.0041284701
31,bottlenecks/Clean clothes/Shoes/shoes1925.jpg.txt,0.0032697883,0.1456736773,0.0355666466,0.7199351788,0.0397950299,0.0044355229,0.0188924689,0.0001883398,0.0012811308,0.0082070604,0.0027777553,0.0020690754,0.0083964299,0.0005485637,0.0086885151,0.0002747451,0.1257288307,0.0639278367,0.0207603741,0.0657858104,0.0070074014,0.0006478466,0.0048289895,0.0004005758,0.0006488161,0.0003254582,0.0002177592,0.0003630365,0.0039944449,0.0004695629,0.0017051921,0.0002022763,0.7029858232,0.0797268897,0.0374755785,0.0442582741,0.0016929193,0.0028101446,0.0820648819,0.751971364,0.0028379844,0.0333574824,0.0378909744,0.1860666722,0.3685373962,0.0328290537,0.5943012834,0.0043323012
32,bottlenecks/Clean clothes/Shoes/shoes958.jpg.txt,0.8886245489,0.049720671,0.0013836779,0.0241629668,0.0171055496,0.0045866007,0.0044316631,5.65194350201637E-05,0.0013906239,0.0009384927,0.0026784802,0.0011430008,0.000269526,0.0007089291,0.0025827347,0.0002160123,0.0965750888,0.0704681277,0.0162560903,0.0615730323,0.0661746114,0.007690975,0.0353954397,0.0037424047,0.0087260818,0.0013511701,0.0020518873,0.0093754781,0.000039588,0.0001647068,0.002039887,0.0031240557,0.6152513623,0.0004544063,0.0021058565,0.9153074622,0.0052177417,0.0026635844,0.0021154671,0.0721354187,0.0532239005,0.0191060212,0.3758150637,0.0771365836,0.6091409922,0.1560338885,0.2252440155,0.009581076
