,bottleneck_dir,top-primary-color-white,top-primary-color-beige,top-primary-color-black,top-primary-color-brown,top-primary-color-grey,top-primary-color-blue,top-primary-color-navy,top-primary-color-teal,top-primary-color-green,top-primary-color-olive,top-primary-color-pink,top-primary-color-red,top-primary-color-maroon,top-primary-color-purple,top-primary-color-orange,top-primary-color-yellow,top-secondary-color-white,top-secondary-color-beige,top-secondary-color-black,top-secondary-color-brown,top-secondary-color-grey,top-secondary-color-blue,top-secondary-color-navy,top-secondary-color-teal,top-secondary-color-green,top-secondary-color-olive,top-secondary-color-pink,top-secondary-color-red,top-secondary-color-maroon,top-secondary-color-purple,top-secondary-color-orange,top-secondary-color-yellow,top-secondary-color-none,top-type-short-sleeve-t-shirt,top-type-long-sleeve-t-shirt,top-type-short-sleeve-shirt,top-type-long-sleeve-shirt,top-type-singlet,top-type-polo,t-shirt-style-graphic-text,t-shirt-style-graphic-image,t-shirt-style-round-neck,t-shirt-style-henley,t-shirt-style-pocket,t-shirt-fit-slim-fit,t-shirt-fit-longline,t-shirt-fit-baggy,t-shirt-fit-regular,shirt-style-oxford,shirt-style-dress,shirt-style-graphic,shirt-style-pocket,shirt-style-granddad-collar,shirt-fit-slim-fit,shirt-fit-regular-fit,top-patterns-animal-print,top-patterns-argyle,top-patterns-horizontal-stripe,top-patterns-vertical-stripe,top-patterns-checkered,top-patterns-dotted,top-patterns-floral,top-patterns-plaid,top-material-denim,top-material-dry-fit,top-material-cotton,dir
10,bottlenecks/Clean clothes/Tops/graphictshirts654.jpg.txt,0.8454424143,0.0107523203,0.0069172392,0.0010939662,0.0065559712,0.0427505076,0.0097102728,0.0552594662,0.0051146899,0.0013077639,0.0017943535,0.0020029778,0.0006781801,0.0036541747,0.0046205656,0.0023452919,0.0328976437,0.0011746287,0.2023166418,0.0029651108,0.0280083008,0.0194202941,0.0827204436,0.0308604166,0.0227988344,0.0102076149,0.0027614427,0.0205788091,0.0069445181,0.0111737037,0.0702892765,0.0802125707,0.3746697307,0.9892942905,0.0030762409,0.0003881936,4.87317902298E-06,0.0016111033,0.0056252992,0.0835779682,0.26258564,0.9265438914,0.0045024753,0.1390463859,0.1974671185,0.0799833015,0.0757546797,0.6467949152,0.4987671971,0.0156650543,0.0007206142,0.1263290644,0.3288399279,0.9931452274,0.0068547665,0.0014068526,0.0085319271,0.00298509,0.0019183006,0.0024445399,0.0090688383,0.0050540003,0.0002849039,0.0015458253,0.0051226984,0.9933314919,Clean clothes/Tops/graphictshirts654.jpg
11,bottlenecks/Clean clothes/Tops/plainshirts354.jpg.txt,0.0226799678,0.0086298482,0.0091387322,0.0236904416,0.0069982549,0.0406068079,0.0668425187,0.0187408607,0.0091950856,0.0080315154,0.5876817703,0.0772151724,0.042962905,0.0730358213,0.0038132328,0.0007372147,0.0020365631,0.0006451032,0.0001613067,0.0008564619,0.0002212557,0.0005413066,0.0014134225,0.0001117463,0.000067947,6.85682316544E-05,3.09923507302E-06,0.0003329459,0.0001084523,0.000042915,0.0001269031,0.0006791487,0.9925829172,5.98656151851E-05,0.0058179139,0.0435451902,0.9499967098,4.11514301959E-05,0.0005391694,0.0170849655,0.0373173021,0.0235138964,0.5357981324,0.0895098224,0.0218376834,0.057396777,0.1557364166,0.7650291324,0.4466613829,0.184785381,0.0019394091,0.126747191,0.059878096,0.9740821123,0.0259178784,0.0044438038,0.0014011661,0.0093243783,0.0156594366,0.0036903098,0.0465537906,0.0032460052,0.0002680585,0.0614974834,0.0125866737,0.9259158969,Clean clothes/Tops/plainshirts354.jpg
12,bottlenecks/Clean clothes/Tops/singlets59.jpg.txt,0.0674016699,0.0546189435,0.0730282962,0.0134504894,0.3457611501,0.051901307,0.0210490059,0.0020208056,0.0027861039,0.0060673654,0.001533453,0.2518252432,0.0130939279,0.0060120355,0.0866291896,0.002821065,0.4560604095,0.0034450302,0.2652617097,0.001144611,0.0093259541,0.0246522054,0.0073702643,0.000116031,0.0232858993,0.0005571414,0.0003543541,0.0418834947,0.0002152737,0.0014359433,0.0012401104,0.0001918215,0.1634598076,0.0311894342,0.0005024611,0.0003394865,0.000023881,0.9619399309,0.0060048411,0.0187375396,0.068213813,0.2727559209,0.0030023439,0.0269693676,0.1538404822,0.1470528245,0.0950955749,0.6040110588,0.3733314872,0.2266856134,0.0016778015,0.1639829129,0.0347302146,0.9600880742,0.039912004,0.0004926841,0.0009380588,0.9512696862,0.0773708671,0.0065849442,0.0708856359,0.0076602586,0.0016654314,0.0021651916,0.0088002924,0.9890345335,Clean clothes/Tops/singlets59.jpg
13,bottlenecks/Clean clothes/Tops/polos278.jpg.txt,0.0019869863,0.0060507176,0.0114218267,0.0039394326,0.9175236821,0.0361866392,0.01101002,0.0029224998,0.0004099041,0.002604695,0.0010603567,0.0015416715,0.0005153926,0.0026252943,0.0001254301,7.54301800043E-05,0.3643338382,0.0039398354,0.4062004387,0.0034635356,0.0618793331,0.0559329689,0.0067211385,0.0026046732,0.0073249517,0.0012961479,0.0008855161,0.0172166023,0.001825141,0.0067377733,0.0062540923,0.0014619477,0.0519219004,0.7067279816,0.0171719268,0.0001139596,1.19382480079E-06,0.0005208951,0.2754640281,0.0184538346,0.047418505,0.9380545616,0.0037111454,0.1176619753,0.0959678069,0.0263328478,0.0129562775,0.8647430539,0.5587864518,0.0107922563,0.000175908,0.0842989758,0.2387134433,0.9949900508,0.0050098966,0.0010879531,0.0014827126,0.545132041,0.0036976228,0.0086768428,0.0205894988,0.0049078902,0.000043112,0.0022290498,0.0047026132,0.9930683374,Clean clothes/Tops/polos278.jpg
14,bottlenecks/Clean clothes/Tops/graphictshirts448.jpg.txt,0.0277027916,0.0407690778,0.1612675786,0.0505575798,0.1474046111,0.0210737269,0.1076558754,0.0263874903,0.0108344145,0.0120830089,0.2346375883,0.0388382152,0.0133881234,0.1013960093,0.0011927674,0.004811109,0.1898761243,0.0009485792,0.0785020366,0.0342146978,0.0848113522,0.0313646719,0.0103297625,0.0970569551,0.0115609765,0.0085864896,0.0028446021,0.0096240817,0.0046798852,0.0114672231,0.0268674176,0.0032224958,0.3940426707,0.9940849543,0.001442113,0.0002400757,5.67755250813E-07,0.001972819,0.0022594086,0.0907648355,0.0991381258,0.9644964933,0.0193022452,0.0533256792,0.117450878,0.1639556587,0.0487023704,0.6698910594,0.5927466154,0.0253446475,0.0010933111,0.1143600792,0.047903236,0.9953304529,0.0046695443,0.0016928012,0.0016213205,0.0377552062,0.0071008783,0.0047966372,0.0151423449,0.0059747398,0.0004011429,0.0092252912,0.0075743031,0.9832004309,Clean clothes/Tops/graphictshirts448.jpg
15,bottlenecks/Clean clothes/Tops/polos365.jpg.txt,0.8896446228,0.0551370494,0.0001203966,1.48239296323E-05,0.0010737103,0.0352517217,0.0011855004,0.001691379,0.0024296606,4.68586658826E-05,0.0105203614,0.0012215028,0.0005017629,0.0003354814,9.30666647037E-05,0.0007321273,0.0099823764,0.0004429464,0.0449166037,1.31873766804E-05,0.0017840428,0.0014265252,0.0009472884,0.0004235162,6.43923849566E-05,0.0002625607,0.000113348,0.0026106928,0.000088895,0.0003426522,0.0029987965,0.0035579412,0.9300242066,0.2512128949,0.0001587785,0.6479658484,0.0584174804,0.0005825433,0.0416625142,0.0034369228,0.1210324764,0.1147486195,0.014824572,0.0078507662,0.0032265733,0.0391805917,0.1252449453,0.8323478699,0.2709318995,0.095620349,0.0004044769,0.5365462303,0.0090593603,0.9598149657,0.0401850902,0.0016510212,0.0011007724,0.0292741191,0.052749455,0.0234726854,0.0427037068,0.0124173164,0.0026254249,0.0034201245,0.000792044,0.9957877994,Clean clothes/Tops/polos365.jpg
16,bottlenecks/Clean clothes/Tops/longsleevetshirts9.jpg.txt,0.7189098001,0.0108376807,0.0618833862,0.0025594116,0.0415129513,0.0405463949,0.0667087734,0.0158835575,0.001585906,0.0008533377,0.0004344264,0.0043946276,0.0024257153,0.0108553069,0.0188875552,0.0017213108,0.031278085,0.0008148998,0.2862214446,0.0075261369,0.0050060255,0.0348832421,0.0483880229,0.2096890509,0.1439442486,0.0020003763,0.0002725941,0.1254836172,0.0027835001,0.0239048339,0.0324830823,0.011443181,0.0338776484,0.0921286121,0.8884173632,3.94228591176E-05,3.0668463296E-05,0.0096246591,0.0097592678,0.9717075825,0.0780304298,0.9399391413,0.0038701922,0.02306371,0.0759724006,0.1559433043,0.0266829655,0.7414013743,0.0792817548,0.104472056,0.002035592,0.2311471701,0.2562035918,0.9744669199,0.0255330764,0.0021656323,0.0047527817,0.0433304645,0.0120700197,0.0060150856,0.0050617079,0.0008263336,0.0003589891,0.0017249216,0.0180590954,0.9802159667,Clean clothes/Tops/longsleevetshirts9.jpg
17,bottlenecks/Clean clothes/Tops/graphictshirts1357.jpg.txt,0.0865464434,0.1619743407,0.010036476,0.0040723956,0.6819647551,0.0019476423,0.024158271,0.0056092981,0.000985655,0.0065163262,0.0042496626,0.0052715489,0.0028412014,0.0027154405,0.0006566429,0.0004539367,0.0593760274,0.0025330349,0.7893764377,0.0027682432,0.0271631815,0.0005224402,0.002699469,0.0001112017,0.0049438206,0.0012156927,0.0008655382,0.0113321124,0.0006873192,0.0009930449,0.0004825004,0.0002733362,0.0946566761,0.9543681741,0.0067085358,0.0011025814,7.69801845308E-05,0.0008030758,0.0369406119,0.010722585,0.1609461308,0.8351252079,0.0185805894,0.0701131448,0.039970845,0.1538492143,0.041252695,0.7649272084,0.3722391725,0.0401008017,9.27329310798E-05,0.0882075131,0.0284037273,0.9724613428,0.0275386982,0.0037485927,0.0006044786,0.12850824,0.0122947041,0.0046011717,0.0275927745,0.012509889,0.0005430806,0.0067363451,0.006918028,0.9863455892,Clean clothes/Tops/graphictshirts1357.jpg
18,bottlenecks/Clean clothes/Tops/graphictshirts1312.jpg.txt,0.0162843242,0.00163332,0.7348921299,0.0077757505,0.016615184,0.0050314642,0.1630599648,0.0020201688,0.0011367592,0.0012123541,0.0009127394,0.0018656249,0.0014965406,0.0448471792,0.0008783046,0.0003381196,0.7351543307,0.0024296627,0.0579720624,0.0097373817,0.0405758321,0.0132911587,0.0042772652,0.0086911051,0.0266423281,0.0059640021,0.0019170092,0.0053730435,0.0032660158,0.0038184973,0.0046245526,0.0048025222,0.0714631677,0.9764971733,0.0211012755,5.8947760408E-05,2.41267798629E-06,0.0008856815,0.0014545073,0.940623343,0.1506980807,0.9844925404,0.0059813736,0.0464305989,0.1799955815,0.0598802231,0.0578250028,0.7022991776,0.2671894729,0.0218101814,0.010960523,0.0210034531,0.1898661405,0.9775919318,0.0224080496,0.0012196068,0.009200233,0.0075408788,0.0020602285,0.002395567,0.0172855984,0.0035186703,0.0004288431,0.0014091828,0.0095205707,0.9890701771,Clean clothes/Tops/graphictshirts1312.jpg
19,bottlenecks/Clean clothes/Tops/solidtshirts14.jpg.txt,0.0914098546,0.0470241979,0.0388169661,0.0538139567,0.0803647563,0.1460281014,0.0988505259,0.0860925913,0.0289812423,0.0178869832,0.0313439034,0.1347526163,0.0743507743,0.0664891452,0.0028230746,0.0009713495,0.062794216,0.0007183639,0.0411399268,0.0012599314,0.0107180392,0.0095230816,0.011757371,0.00214734,0.0122998534,0.0005474069,0.0028348239,0.0069543831,0.0091814678,0.005385289,0.0021255231,0.0122307241,0.8083822727,0.9884611368,0.0093032783,0.0003630456,3.09181123157E-05,0.0001719874,0.0016696395,0.0569718555,0.039125707,0.9791707993,0.0220678989,0.121033214,0.0279148482,0.1226035058,0.0924375579,0.7570440769,0.3442766666,0.0498414002,0.0028907778,0.1663642079,0.150788635,0.9775350094,0.0224650279,0.0012452115,0.0051008491,0.0159618855,0.0027216477,0.0045137978,0.0107157594,0.0032413709,0.0002854151,0.0050627105,0.0152678676,0.9796694517,Clean clothes/Tops/solidtshirts14.jpg
20,bottlenecks/Clean clothes/Tops/shortsleeveshirts328.jpg.txt,0.0723810196,0.1497253031,0.002883615,0.0074323071,0.5132287145,0.0633217245,0.009352942,0.0105458628,0.0262714308,0.1109665036,0.0168442577,0.0009074485,0.0007192426,0.0130360099,0.0004996689,0.0018839348,0.0259086899,0.0049703186,0.0660441592,0.0009166605,0.0006262717,0.0061144829,0.0107925441,0.0016470096,0.0016692139,0.0015409022,9.72949055722E-05,0.0008256701,0.0001612499,0.0021093315,0.0012783692,2.38800967054E-05,0.8752739429,0.0167918298,0.0008000543,0.835401237,0.1408001333,0.0001682259,0.0060385852,0.0087317582,0.0531126037,0.0664544255,0.2522443533,0.0339046568,0.0172413047,0.1244689822,0.1544166654,0.7038730383,0.6159388423,0.0393122546,0.0008691388,0.6086179614,0.0436450019,0.8679237366,0.1320762783,0.0073148063,0.0039418275,0.0388791487,0.0210075434,0.0119439121,0.1523967087,0.0157065112,0.0030795259,0.1843474507,0.0010815364,0.814571023,Clean clothes/Tops/shortsleeveshirts328.jpg
21,bottlenecks/Clean clothes/Tops/graphictshirts476.jpg.txt,0.0035118607,0.0013333041,0.0194610842,0.0003255881,0.059645202,0.3285251558,0.4773015976,0.0072130477,0.0015590432,0.0002591133,0.0137933698,0.0139534054,0.0018890923,0.0707961246,0.0003148343,0.0001180716,0.0209076013,0.0049016047,0.0705247372,0.0019076376,0.0223678648,0.1145725548,0.0220542047,0.0053551761,0.0007277016,0.0001809628,0.0001876608,0.0090653496,0.0008615306,0.0011943385,0.0007154474,0.0114670442,0.7130086422,0.0405167714,0.0004254143,0.8752042651,0.0716854408,0.0001268768,0.0120412903,0.0348057263,0.1796370149,0.0647113845,0.1143935621,0.0891022533,0.0148088401,0.0493739694,0.037882369,0.897934854,0.5386436582,0.0310243387,0.0004527764,0.4061504304,0.0588326007,0.9508840442,0.0491158962,0.0021457227,0.0040666214,0.0547111183,0.0455817729,0.0885362923,0.2569271326,0.1335689276,0.0011558299,0.0170614459,0.0017916404,0.9811469316,Clean clothes/Tops/graphictshirts476.jpg
22,bottlenecks/Clean clothes/Tops/shortsleeveshirts268.jpg.txt,0.8398011327,0.0602258742,0.0048998292,0.0009723702,0.0244129896,0.0363941938,0.0042254357,0.0083428025,0.0027862212,0.0002157523,0.0075144358,0.0012902345,0.000166814,0.0083672563,0.0001656031,0.0002189815,0.0025784571,0.0007284297,0.0027383894,0.000445558,0.0055331443,0.0008820341,0.0013472341,0.0017716322,0.000149541,0.0001567299,3.87755881093E-06,0.0007912492,0.0001356775,0.0004331414,0.0001180636,0.0001682599,0.98201859,0.0007934463,0.0005773584,0.7358652353,0.2555519044,0.0001875046,0.0070245746,0.0078209415,0.0659622252,0.0635821745,0.1713434011,0.0715769529,0.0372675955,0.0384629071,0.1559407264,0.7683288455,0.2263664454,0.1789634079,0.0021821412,0.4017910957,0.0447168201,0.918880403,0.0811195597,0.003586011,0.002803636,0.00650304,0.0155883366,0.0065512112,0.0176493581,0.0057535921,0.0004209378,0.0068165469,0.006258789,0.9869246483,Clean clothes/Tops/shortsleeveshirts268.jpg
23,bottlenecks/Clean clothes/Tops/shortsleeveshirts114.jpg.txt,0.001777672,3.36412449542E-05,0.0006169844,0.0003984311,0.0019020161,0.6851429343,0.3031576872,0.0023944608,0.0003863016,9.62239664659E-06,0.001422953,2.36348787439E-05,9.56716248766E-05,0.0023106677,0.0001890049,0.0001382367,0.0455884524,0.0039035224,0.0372502469,0.0018518943,0.0102751181,0.0262232218,0.0101506449,0.0101262797,0.000394046,0.0016090886,0.0001332628,0.006707401,0.0003464216,0.0068982039,0.010578339,0.000612727,0.8273512125,0.017203223,0.0010884514,0.9094893932,0.0603526086,0.0019824998,0.0098838406,0.0133697456,0.3002927601,0.1748204082,0.117641069,0.0334121548,0.0173592325,0.0372984596,0.0164060835,0.9289362431,0.2510035336,0.1164202243,0.0002343688,0.7108199596,0.0508067943,0.7363001108,0.2636999786,0.0002875134,0.0007376162,0.0267289858,0.0053402842,0.0072804326,0.0145031437,0.0168346427,0.0026274968,0.0741000473,0.0061713802,0.9197285771,Clean clothes/Tops/shortsleeveshirts114.jpg
