bottleneck_dir,vector,dir
bottlenecks/Clean clothes/Shoes/shoes1563.jpg.txt,"0.0021066992, 0.0013718794, 0.8099969625, 0.0114295809, 0.0629310235, 0.0154502373, 0.0851655453, 0.000699882, 0.0010393962, 0.0051880698, 0.0006652861, 0.0006790278, 0.0027130269, 7.11566608516E-05, 0.0001526194, 0.0003394977, 0.3238540888, 0.0415785052, 0.0999072716, 0.0706785172, 0.0153234862, 0.0096034165, 0.0693344548, 0.0016860819, 0.0007013881, 0.0001193956, 0.0007405552, 0.0017028897, 0.004888739, 0.0002930308, 0.0047046952, 0.0032522201, 0.351631254, 0.0141039956, 0.0143931098, 0.8446663618, 0.0356457829, 0.0013859489, 0.0408198088, 0.0489849634, 0.0884831995, 0.0519958995, 0.2383491844, 0.0591701157, 0.6947626472, 0.1262415498, 0.1541652679, 0.0011321489",Clean clothes/Shoes/shoes1563.jpg
bottlenecks/Clean clothes/Shoes/shoes1685.jpg.txt,"0.0035378651, 0.0083424691, 0.0004322785, 0.0009818798, 0.0274972972, 0.9077536464, 0.0263883173, 0.0078915786, 0.0076351375, 0.001071864, 0.0005619983, 0.0035051662, 0.0017200714, 0.000096875, 0.0014829442, 0.0011007024, 0.7847144604, 0.0163262449, 0.0065773013, 0.0200453401, 0.0019919993, 0.0797512531, 0.0368470028, 0.0029799768, 0.0239800103, 8.38688174554E-06, 0.0003094377, 0.0004655417, 0.0012416743, 1.31322838115E-06, 1.91332255781E-05, 0.0008956064, 0.0238452163, 1.29944764922E-05, 0.0005744906, 0.7879260182, 0.2065971792, 0.001702787, 0.0001077593, 0.003078674, 0.0282687191, 0.6428082585, 0.8949136138, 0.0701509267, 0.0121252006, 0.2095012218, 0.867888391, 0.0034533774",Clean clothes/Shoes/shoes1685.jpg
bottlenecks/Clean clothes/Shoes/shoes1949.jpg.txt,"0.0085094329, 0.0077825552, 0.5894626975, 0.0848794281, 0.0366632231, 0.0633857623, 0.1304748058, 0.0082901455, 0.0041908887, 0.0066455379, 0.0013157852, 0.0207593683, 0.0354217067, 0.0004649128, 0.0001254173, 0.0016283153, 0.0368555523, 0.0041777869, 0.10608197, 0.1051116288, 0.0025615867, 0.0031627952, 0.0081541557, 8.5214531282E-05, 0.0002391045, 0.0001104147, 0.0001095467, 0.001145305, 0.0075882114, 2.16744138015E-05, 0.0018676006, 0.0019900471, 0.7207373977, 0.0136893764, 0.0007319838, 0.0677528232, 0.0019563793, 0.0001951725, 0.9032086134, 0.0124655617, 0.0333895013, 0.0295711607, 0.0813312531, 0.0173233207, 0.9300726652, 0.0413082838, 0.1082344577, 0.0010038816",Clean clothes/Shoes/shoes1949.jpg
bottlenecks/Clean clothes/Shoes/shoes376.jpg.txt,"0.5010333061, 0.0085472092, 0.3155303299, 0.0078091202, 0.0851258337, 0.0067965481, 0.0322971977, 0.0236258116, 0.0036558902, 0.0005627183, 0.0058023958, 0.0031628895, 0.002355136, 0.0031642532, 9.13327312446E-05, 0.0004399858, 0.3306259513, 0.0126862032, 0.2862717807, 0.0069374116, 0.0078907507, 0.0100154616, 0.0363535807, 0.0001090288, 0.0125110401, 0.0005506025, 0.0024179262, 0.0154056046, 0.0001990978, 0.00004909, 3.87672735087E-05, 0.0041627842, 0.2737749219, 0.0085438201, 0.0067929761, 0.714035213, 0.1252257377, 0.0521824919, 0.0191073585, 0.0741124377, 0.0977586061, 0.0024410659, 0.4739465714, 0.017510714, 0.1812359691, 0.2088145614, 0.0227319729, 0.0266172681",Clean clothes/Shoes/shoes376.jpg
bottlenecks/Clean clothes/Shoes/shoes1391.jpg.txt,"0.0360088646, 0.1201558709, 0.0760976598, 0.0239377338, 0.1274614483, 0.0225896686, 0.0679775923, 0.0242185537, 0.206597805, 0.2235168517, 0.0044597252, 0.0190339778, 0.0247081537, 0.0010216701, 0.0048470539, 0.0173673388, 0.5658470392, 0.0268616062, 0.0401902758, 0.044076506, 0.0273769945, 0.0101814484, 0.0088419793, 0.0020221763, 0.001665095, 0.0002750516, 0.000210845, 0.0103264181, 0.0021782676, 0.0004579475, 0.1355218887, 0.0043943627, 0.1195720658, 3.87362160836E-05, 0.0013893602, 0.9840015173, 0.0128378198, 0.0001394608, 0.0004622078, 0.001130887, 0.019948788, 0.0985327289, 0.807782352, 0.0445212983, 0.2703565657, 0.1153851822, 0.6158239245, 0.0001749571",Clean clothes/Shoes/shoes1391.jpg
bottlenecks/Clean clothes/Shoes/shoes978.jpg.txt,"0.1845856756, 0.0075937691, 0.0045813913, 0.0116683841, 0.732175529, 0.0020584476, 0.0090478193, 0.0028523016, 0.0123574948, 0.0113970377, 0.0045047151, 0.0086046951, 0.0039648865, 3.7075347791E-05, 0.0009082152, 0.0036626253, 0.8043305874, 0.0129021304, 0.0203715805, 0.0015691943, 0.0329461582, 0.0100534605, 0.052632127, 0.0031875421, 0.0031675755, 0.000217004, 8.82486565388E-05, 0.0138437413, 0.0012576052, 3.636312249E-05, 0.0001486592, 0.0010800317, 0.0421679057, 0.0001621539, 0.0069898493, 0.7974156141, 0.1895360053, 0.0037326189, 0.000169069, 0.0019947637, 0.1186676919, 0.0155395903, 0.9257867932, 0.4571571946, 0.0442398898, 0.0733530819, 0.5815060735, 0.0052244579",Clean clothes/Shoes/shoes978.jpg
bottlenecks/Clean clothes/Shoes/shoes2059.jpg.txt,"0.0027178428, 0.0024189162, 0.9082228541, 0.0335030966, 0.0266465712, 0.0015996997, 0.0192038398, 0.0002025005, 0.0007268481, 0.0007918673, 0.0013247388, 0.0007604659, 0.0010265209, 0.0004579509, 0.0002845352, 0.000111631, 0.0609520078, 0.0022493969, 0.1050430462, 0.2623205185, 0.0114066089, 0.0082222931, 0.0081038624, 5.56071208848E-05, 0.0006759601, 0.0002396979, 0.0005572588, 0.0021798566, 0.0011607644, 0.0003162917, 0.0002682807, 0.0036172345, 0.5326313376, 0.0022995712, 0.0749640763, 0.0583775155, 0.0051417965, 0.0004547326, 0.8415189981, 0.0172433406, 0.037342526, 0.0342412107, 0.0505293272, 0.2836742997, 0.9531002641, 0.1116987839, 0.1469717771, 0.0011901016",Clean clothes/Shoes/shoes2059.jpg
bottlenecks/Clean clothes/Shoes/shoes1482.jpg.txt,"0.0126526356, 0.0036303245, 0.5864399672, 0.0082348464, 0.2118218541, 0.0350243226, 0.0872195065, 0.0038253251, 0.0101392642, 0.0091293072, 0.0014613774, 0.0026288079, 0.0264273733, 0.0003093891, 0.0004634401, 0.0005922488, 0.603449285, 0.0180569403, 0.017243458, 0.0335501693, 0.0055113556, 0.0013221945, 0.0222390387, 0.0010438288, 0.0003589882, 1.70074999915E-05, 0.0004077449, 0.0038373976, 0.0114848688, 0.00120836, 0.0057802154, 0.0013718242, 0.2731174827, 0.0017459159, 0.0031639661, 0.8533598781, 0.1375459135, 9.96518501779E-05, 0.0019290667, 0.0021556222, 0.0504626669, 0.0524300374, 0.7770437598, 0.2297347486, 0.3441494405, 0.0628589466, 0.3402511775, 0.0001426394",Clean clothes/Shoes/shoes1482.jpg
bottlenecks/Clean clothes/Shoes/shoes1268.jpg.txt,"0.0202371869, 0.6865350008, 0.012557609, 0.1466063261, 0.0344678946, 0.0140690971, 0.0152589446, 0.000627943, 0.0034849963, 0.0162807424, 0.0040476681, 0.0150123863, 0.0132640861, 0.0001993881, 0.0147383306, 0.0026124734, 0.0684194192, 0.1024475321, 0.1407096833, 0.1773373932, 0.0215539038, 0.0044109863, 0.0344857946, 0.002865351, 0.0013987191, 0.0008735573, 0.0001418121, 0.004690988, 0.0011169825, 0.0002442176, 0.2170280665, 0.0098069627, 0.2124686241, 0.0035905913, 0.0495861247, 0.6944398284, 0.0130971577, 0.0042162663, 0.1190907508, 0.1159793213, 0.0308783818, 0.0992009193, 0.1185446158, 0.1284400821, 0.8184123039, 0.0704342648, 0.1839110255, 0.0009317749",Clean clothes/Shoes/shoes1268.jpg
bottlenecks/Clean clothes/Shoes/shoes277.jpg.txt,"0.0026459964, 0.0200762283, 0.6981588602, 0.2112365067, 0.0350697003, 0.0040831896, 0.0116274953, 0.0002057984, 0.0010551756, 0.0042526941, 0.0016580385, 0.0036647127, 0.0032043669, 0.0006401532, 0.0017972296, 0.0006238802, 0.0152895758, 0.0019536139, 0.1540571302, 0.198733896, 0.0028883887, 0.0108564235, 0.0054047597, 0.000082346, 0.0006106371, 0.0001305316, 3.97727671952E-05, 0.0006648357, 0.0013042961, 0.0001160953, 0.0002561548, 0.0012267296, 0.6063848734, 0.0007335856, 0.1183320731, 0.0151416799, 0.0022400764, 0.0004505847, 0.836666882, 0.0264350343, 0.01371154, 0.0064569218, 0.040362142, 0.5277496576, 0.9591078162, 0.0167773068, 0.0598469898, 0.0009602857",Clean clothes/Shoes/shoes277.jpg
bottlenecks/Clean clothes/Shoes/shoes1933.jpg.txt,"0.4307460189, 0.0354806185, 0.1127844676, 0.1712052524, 0.0617280453, 0.0084615927, 0.0194379557, 0.0074663786, 0.0036130813, 0.0183624122, 0.0029501205, 0.0617851354, 0.0445015877, 0.0014105203, 0.0012416166, 0.0188252125, 0.0521435663, 0.0040943548, 0.0717203543, 0.6253117919, 0.0059002773, 0.0059674405, 0.0040766448, 4.34483263234E-05, 0.0081414124, 0.0001305695, 3.91365319956E-05, 0.001189211, 0.0003921935, 0.000027339, 2.54629085248E-05, 0.0013716549, 0.2194252163, 0.0006543722, 0.6412368417, 0.0445447341, 0.0095190937, 0.0033986184, 0.1121202931, 0.1885260642, 0.0226399861, 0.0020089985, 0.0465999842, 0.679454565, 0.3927544355, 0.0248243269, 0.217274487, 0.0007860558",Clean clothes/Shoes/shoes1933.jpg
bottlenecks/Clean clothes/Shoes/shoes170.jpg.txt,"0.0010085475, 0.0006643006, 0.954664588, 0.0018899391, 0.023291098, 0.0019342856, 0.0099684261, 0.0001781583, 0.0003210295, 0.0009244842, 0.0010243565, 0.0016194362, 0.002223809, 0.000225306, 6.9581169555E-06, 5.53327336092E-05, 0.1403808445, 0.0113613047, 0.0456638038, 0.0367853045, 0.012594738, 0.0059894943, 0.0069695855, 9.76540832198E-05, 0.0008546732, 0.0006786895, 0.000252974, 0.0024797576, 0.0126533573, 0.00022782, 0.0002019746, 0.0024750738, 0.7203329802, 0.0346217267, 0.0061162584, 0.1478349119, 0.0231654625, 0.003205234, 0.7169931531, 0.0680632368, 0.0372335725, 0.0062867198, 0.1031249166, 0.0999136418, 0.645997107, 0.0766938105, 0.1686406583, 0.0020386162",Clean clothes/Shoes/shoes170.jpg
bottlenecks/Clean clothes/Shoes/shoes538.jpg.txt,"0.0013212332, 0.032136295, 0.0780384541, 0.7944117785, 0.0283244681, 0.0033928338, 0.0083786501, 0.0004069842, 0.0026773335, 0.011105191, 0.0112312315, 0.0030969034, 0.0060446179, 0.0034531902, 0.0151027152, 0.000878069, 0.0107687525, 0.0497709699, 0.3656631112, 0.0348544568, 0.0247061662, 0.0082805427, 0.0090056024, 9.21303071664E-05, 0.0008931684, 0.0002792315, 0.000167563, 0.0005334991, 0.0007144546, 0.0042199483, 0.0050847786, 0.0020891814, 0.4828763902, 0.0001711139, 0.9750500321, 0.0012569113, 0.0001898443, 0.0001322192, 0.0088453433, 0.0143545214, 0.0175303146, 0.0282364674, 0.032409966, 0.9460569024, 0.4947328568, 0.0208402462, 0.4635590315, 0.0011315946",Clean clothes/Shoes/shoes538.jpg
bottlenecks/Clean clothes/Shoes/shoes935.jpg.txt,"0.16925928, 0.1005936638, 0.1406897455, 0.1353219151, 0.0564923212, 0.0358633734, 0.2159786224, 0.002650443, 0.0168939717, 0.0042252969, 0.0273064524, 0.0774843916, 0.0144097283, 0.0020548161, 0.0002210431, 0.0005549655, 0.4704420269, 0.0067828298, 0.0671223179, 0.1450792551, 0.0052905297, 0.0136995204, 0.0079611093, 0.0001143388, 0.0027149632, 0.0005109676, 0.0020073473, 0.0376608148, 0.0008905766, 7.44564476918E-06, 0.00000073, 0.0178234894, 0.2218917161, 0.0064835362, 0.0043839063, 0.3062158227, 0.0221834332, 0.254288137, 0.0115372399, 0.3949078918, 0.0154227139, 0.0042695785, 0.0351017229, 0.0400473513, 0.1895636916, 0.0986326635, 0.4313184321, 0.0884703174",Clean clothes/Shoes/shoes935.jpg
bottlenecks/Clean clothes/Shoes/shoes181.jpg.txt,"0.0004413709, 0.001600315, 0.9619924426, 0.0172790289, 0.0076196366, 0.0003660915, 0.0075113885, 2.76377140835E-05, 0.0001394361, 0.0007664513, 0.000263986, 0.0003325731, 0.0015241731, 3.68778673874E-05, 4.88200712425E-05, 4.97007022204E-05, 0.0227497257, 0.0005677257, 0.0368006527, 0.0476939417, 0.0047336472, 0.0015815108, 0.0052927267, 7.45323450246E-06, 0.0003116394, 3.91441462853E-05, 4.45979021606E-05, 0.0018166678, 0.0004917881, 2.02698684006E-05, 0.0002708718, 0.0013447765, 0.8762328029, 0.0007191546, 0.0855461955, 0.0627897382, 0.0034331959, 0.0005030401, 0.8131704926, 0.0338382088, 0.0163606741, 0.0175707266, 0.0301051326, 0.5161848664, 0.8167559505, 0.0407452621, 0.2302496433, 0.0002347669",Clean clothes/Shoes/shoes181.jpg
bottlenecks/Clean clothes/Shoes/shoes247.jpg.txt,"0.0027269274, 0.0309912302, 0.1781202406, 0.4184599817, 0.0208792016, 0.0094521455, 0.0100949258, 0.0013743376, 0.0040969672, 0.036617998, 0.0035983655, 0.1509922594, 0.1217607856, 0.0035616904, 0.0054972745, 0.00177571, 0.0481236242, 0.0282230098, 0.2300958484, 0.3760485053, 0.0182704329, 0.0043211584, 0.029522879, 0.0005538401, 0.0007410026, 0.0006775915, 0.000237031, 0.0016786034, 0.0029219156, 0.0010968146, 0.0097349444, 0.0043285703, 0.2434242666, 0.0119118318, 0.0827982128, 0.0726434886, 0.0099344766, 0.0024399152, 0.7159488201, 0.1043231711, 0.0136413444, 0.0176038947, 0.0717237443, 0.3353594542, 0.8215838671, 0.0336339809, 0.17697905, 0.0006084269",Clean clothes/Shoes/shoes247.jpg
bottlenecks/Clean clothes/Shoes/shoes1475.jpg.txt,"0.0005914388, 0.0056489254, 0.162978828, 0.1421876848, 0.1945655942, 0.0028783099, 0.0116710607, 0.0012462112, 0.0040798225, 0.4658020139, 0.0026845331, 0.0009444201, 0.0034876142, 0.0003216192, 0.0005462539, 0.0003656378, 0.4457660317, 0.0182208065, 0.0645622164, 0.0323073789, 0.041782774, 0.0017903696, 0.0200172383, 0.0004201833, 0.0003879934, 0.0020610094, 0.0009177276, 0.0019103413, 0.0005854903, 0.0001565576, 0.0002074866, 0.0077678529, 0.3611384928, 0.0516572371, 0.0055375006, 0.7978577018, 0.0237751808, 0.0336003676, 0.0135106938, 0.0740613192, 0.0269988831, 0.1568970829, 0.1630818546, 0.075094305, 0.2235289365, 0.0724595487, 0.5696678758, 0.0274484325",Clean clothes/Shoes/shoes1475.jpg
bottlenecks/Clean clothes/Shoes/shoes2082.jpg.txt,"0.0053581228, 0.0383686274, 0.1791285127, 0.6448805928, 0.0275478531, 0.0231081825, 0.0195605867, 0.0043297997, 0.0045602322, 0.0062741335, 0.0041989353, 0.0147367287, 0.0219334252, 0.0029387511, 0.0023789839, 0.0006965733, 0.0639843643, 0.0486838035, 0.1578056663, 0.0570167415, 0.0086983684, 0.0090828976, 0.0272534229, 0.001492367, 0.001415053, 0.0006581333, 0.0004473127, 0.0013613383, 0.0042882781, 0.0003234758, 0.0026116641, 0.0050857351, 0.609791398, 0.0642757714, 0.0217509214, 0.1493801773, 0.0089741023, 0.0037392084, 0.4463912845, 0.3054885864, 0.0490726903, 0.0196044836, 0.08744587, 0.04620637, 0.8179512024, 0.037504334, 0.1540726423, 0.0052708681",Clean clothes/Shoes/shoes2082.jpg
bottlenecks/Clean clothes/Shoes/shoes1885.jpg.txt,"0.0041925227, 0.0269811116, 0.2806519568, 0.1761683822, 0.2233123928, 0.0238053072, 0.1532467753, 0.0081701567, 0.0076496159, 0.0565586723, 0.0049601565, 0.0070679975, 0.0195140373, 0.0008741685, 0.0041615772, 0.0026852293, 0.1622508019, 0.0321438015, 0.0856763646, 0.2679207623, 0.0741674304, 0.006330919, 0.0200552717, 0.0004759738, 0.0013403421, 0.0022943423, 0.0004488779, 0.0010778861, 0.002092971, 0.0001794898, 0.0035076113, 0.008142299, 0.3318948448, 0.2062370479, 0.0070888237, 0.2732799053, 0.013962267, 0.0066017662, 0.0198842473, 0.4729458392, 0.0137839448, 0.0348642915, 0.1698480099, 0.0597384162, 0.0808592439, 0.1148934662, 0.6290283799, 0.0036137034",Clean clothes/Shoes/shoes1885.jpg
bottlenecks/Clean clothes/Shoes/shoes53.jpg.txt,"0.0016367505, 0.0124374945, 0.7628795505, 0.0242621861, 0.0729973987, 0.0012226133, 0.0195039473, 0.0016502754, 0.0008238092, 0.007863516, 0.0017068682, 0.0123848347, 0.0797489658, 0.000163277, 0.0001464013, 0.0005720617, 0.11465168, 0.0041088066, 0.3394916356, 0.0929749832, 0.0085039278, 0.0020111057, 0.0077646598, 0.0003147049, 0.0003426846, 0.0004086444, 0.0001166675, 0.0003438483, 0.0167499855, 4.84669253638E-05, 0.0010039592, 0.0024054132, 0.4087588489, 0.5647130609, 0.0010339989, 0.0720523596, 0.005769507, 0.0036271755, 0.3234638274, 0.0293400548, 0.0138435056, 0.00575419, 0.067095004, 0.0218348093, 0.8494436741, 0.0147024794, 0.1557084173, 0.0012784383",Clean clothes/Shoes/shoes53.jpg
bottlenecks/Clean clothes/Shoes/shoes1818.jpg.txt,"0.0030298824, 0.0007230079, 0.9250403047, 0.0014121108, 0.0279189777, 0.0032243936, 0.0287603922, 0.0005498505, 0.00329978, 0.0009305539, 0.0017497436, 0.0009258844, 0.0013462079, 0.0010329381, 2.31386020459E-05, 3.28853639076E-05, 0.2362850904, 0.0130906319, 0.0172511917, 0.0355183035, 0.0031952523, 0.0022800849, 0.0067212647, 7.54455277274E-06, 0.0006817802, 0.000251657, 0.0017540742, 0.0110093849, 0.0006643179, 3.31581904902E-05, 0.0001348432, 0.0022968787, 0.6688246131, 0.0125868553, 0.0002837071, 0.9309957623, 0.0344099067, 0.0018633644, 0.0090383673, 0.0108220195, 0.0629957244, 0.0090797897, 0.4411225617, 0.0164701156, 0.4008587301, 0.1525990367, 0.1517493874, 0.0018240112",Clean clothes/Shoes/shoes1818.jpg
