,bottleneck_dir,shoes-primary-color-white,shoes-primary-color-beige,shoes-primary-color-black,shoes-primary-color-brown,shoes-primary-color-grey,shoes-primary-color-blue,shoes-primary-color-navy,shoes-primary-color-teal,shoes-primary-color-green,shoes-primary-color-olive,shoes-primary-color-pink,shoes-primary-color-red,shoes-primary-color-maroon,shoes-primary-color-purple,shoes-primary-color-orange,shoes-primary-color-yellow,shoes-secondary-color-white,shoes-secondary-color-beige,shoes-secondary-color-black,shoes-secondary-color-brown,shoes-secondary-color-grey,shoes-secondary-color-blue,shoes-secondary-color-navy,shoes-secondary-color-teal,shoes-secondary-color-green,shoes-secondary-color-olive,shoes-secondary-color-pink,shoes-secondary-color-red,shoes-secondary-color-maroon,shoes-secondary-color-purple,shoes-secondary-color-orange,shoes-secondary-color-yellow,shoes-secondary-color-none,shoes-type-boat/loafer,shoes-type-boots,shoes-type-sneakers,shoes-type-sport,shoes-type-sandals,shoes-type-dress-shoes,shoes-type-casual-shoes,shoes-others-toe-cap,shoes-others-gum-sole,shoes-others-with-logo,shoes-others-high-cut,shoes-materials-leather,shoes-materials-canvas,shoes-materials-suede,shoes-materials-rubber,dir
10,bottlenecks/Unlabelled Clothes/Shoes/shoes1689.jpg.txt,0.0006952377,3.17310987156816E-05,0.8085306883,0.1438197643,0.0131336581,0.0003587143,0.0052363789,0.0003148085,0.0003656258,0.0043435101,0.0003918415,0.0017692179,0.0205679219,0.0002298576,0.000057905,0.0001531255,0.0447280481,4.97526125400327E-05,0.0127415583,0.0226736479,0.0049151527,0.0018410804,0.0046766433,3.80152196157724E-05,0.000013106,2.29060806304915E-05,1.83753145392984E-05,9.62462727329694E-05,0.0003857133,0.0003427163,4.3314619802004E-07,0.0002688326,0.9071878195,0.2223629057,0.1543875188,0.0825250596,0.1162598804,0.0026092066,0.3824171722,0.0394381993,0.0098896939,0.0050760503,0.0282975212,0.4392180443,0.8253903985,0.0172623266,0.0407859385,0.0002139534,Unlabelled Clothes/Shoes/shoes1689.jpg
11,bottlenecks/Unlabelled Clothes/Shoes/shoes302.jpg.txt,6.54830510029569E-05,0.0001220606,0.9379121065,0.0445953459,0.0006946608,0.0001749161,0.0043901717,6.98245130479336E-05,0.0001298865,0.0003886188,4.33052737207618E-05,0.0005826505,0.0101334844,0.0005024465,0.000051857,0.000143287,0.057997331,0.0013349989,0.0471066609,0.3385323286,0.0106897028,0.0028163521,0.0090631014,0.0002370198,5.86936985200737E-05,0.0001012254,4.19676216552034E-05,1.84529453690629E-05,0.0197122786,0.0002040922,1.29307036331738E-05,0.0010318694,0.5110409856,0.9417980313,0.0010257481,0.0014050343,0.0006923622,3.16198311338667E-05,0.043039415,0.0120077627,0.0083704609,0.007031973,0.0247487426,0.034553282,0.8453984261,0.0143574681,0.2135958672,0.0016111702,Unlabelled Clothes/Shoes/shoes302.jpg
12,bottlenecks/Unlabelled Clothes/Shoes/shoes2576.jpg.txt,0.261370331,0.0108489376,0.1811062098,0.0079523176,0.4913788736,0.0014828629,0.0110698929,8.34821476018988E-05,0.0059038214,0.0056712315,0.0022591283,0.0023973815,0.002279555,0.0018869046,0.0003023905,0.0140066203,0.7780632377,6.44378133074497E-06,0.0019429164,0.0053839558,0.006805981,0.0074981148,0.0154549964,0.0003442004,0.0032359979,0.000391332,8.62401138874702E-05,0.000658352,0.000121482,1.04366314701565E-07,6.43663184973775E-08,0.0004865191,0.1795199364,0.0005658267,0.0028553039,0.9608992338,0.0164293684,0.0049718395,0.0051485393,0.009129934,0.0281000808,0.0120656183,0.3514841497,0.0320931002,0.4021308422,0.2185366899,0.1054773033,0.0072582825,Unlabelled Clothes/Shoes/shoes2576.jpg
13,bottlenecks/Unlabelled Clothes/Shoes/shoes2063.jpg.txt,0.081350103,0.0005368408,0.7053870559,0.0202700831,0.1591738015,0.0092213349,0.0067205043,0.0002689658,0.0018285802,0.0026558051,0.0085757179,0.000094533,0.0001588652,0.0037150127,7.47079411667073E-06,3.53622526745312E-05,0.1144410074,3.63278741133399E-05,0.3833892345,0.0066269501,0.021879632,0.002614537,0.0642228797,0.0001851326,0.0131383715,8.01594433141872E-05,0.0013336345,0.0001636629,1.05306471596123E-05,0.000000282,8.05302075024272E-11,0.0020713781,0.3898063004,0.0012009254,0.0014242477,0.0708715916,0.4669470191,0.4521859288,0.0060638082,0.001306542,0.063706018,0.0009295218,0.1983717084,0.042977456,0.1709339172,0.1300328225,0.0038499867,0.7423756719,Unlabelled Clothes/Shoes/shoes2063.jpg
14,bottlenecks/Unlabelled Clothes/Shoes/shoes2249.jpg.txt,0.0106539382,0.0035874352,0.2501820624,0.0131220352,0.5428845882,0.0175404903,0.044818636,0.00061383,0.0059096175,0.0844746232,0.0110742208,0.0030831348,0.0032027685,0.0075925835,0.0003904425,0.0008695336,0.4943726957,7.00021992088295E-05,0.0339827091,0.0818201452,0.0165000949,0.0064688688,0.1021776497,0.0005397632,0.0017005603,0.0002202525,0.0003069862,0.0002004242,0.0012506036,4.99906127515715E-06,1.56799924155848E-08,0.0012858937,0.2590984404,0.0277188513,0.014525787,0.4913075566,0.3491856158,0.0921830982,0.0012341101,0.0238449555,0.0050282041,0.0121417297,0.2667782605,0.1205202416,0.071375601,0.0599964187,0.128783673,0.031671457,Unlabelled Clothes/Shoes/shoes2249.jpg
15,bottlenecks/Unlabelled Clothes/Shoes/shoes455.jpg.txt,0.0026909469,0.0006935904,0.7344474196,0.1927331239,0.0312587284,0.0045349337,0.0041887839,0.0004898154,0.0005610798,0.0043205055,0.0006469276,0.0014196361,0.0186289288,0.0031122433,8.17031032056548E-05,0.0001916508,0.0333874673,0.000433465,0.0390015692,0.0574908033,0.0064501492,0.0021990696,0.004592679,0.000094087,0.0003973824,0.0005833235,0.0001965661,9.93027715594508E-05,0.0012077732,0.0002235325,4.02129444410093E-06,0.0009603575,0.8526784778,0.3454345763,0.0605672412,0.0953342989,0.0524462573,0.0037240228,0.322017163,0.1204764098,0.0270179734,0.0103401504,0.0587291457,0.1663903296,0.9199435115,0.0184557252,0.0465346538,0.0018167443,Unlabelled Clothes/Shoes/shoes455.jpg
16,bottlenecks/Unlabelled Clothes/Shoes/shoes3184.jpg.txt,0.0610785,0.000302473,0.3343755305,0.0202659015,0.5727421045,0.0011964624,0.0065415935,7.0534530095756E-05,0.0004774241,0.0011158512,0.0002240777,0.0003122085,0.0003296947,0.0002985824,1.85913922905456E-05,0.0006504284,0.3630894721,5.98049336986151E-05,0.0566197746,0.0146899391,0.0335970782,0.006965314,0.0945470184,0.0006625788,0.0035469902,6.19751008343883E-05,0.0003158017,0.0031170591,1.39257335831644E-05,5.03816011132585E-07,4.58939025671512E-10,0.0013042863,0.4214084148,0.0004188884,0.0137760546,0.6159259081,0.3558792472,0.0042406959,0.0010391431,0.0087200552,0.0825139508,0.0079848142,0.5807725191,0.2824761569,0.0229841005,0.1577100605,0.0659892261,0.0008284623,Unlabelled Clothes/Shoes/shoes3184.jpg
17,bottlenecks/Unlabelled Clothes/Shoes/shoes789.jpg.txt,0.0049331929,0.0009009954,0.2385094017,0.5142248273,0.1021698192,0.001309072,0.0144935912,0.0006323112,0.000318735,0.0040427381,0.0015000644,0.0015009231,0.1146409959,0.0002146183,0.0002043158,0.0004043561,0.0101334304,0.0001200867,0.0296832491,0.0424229056,0.004154962,0.0018225613,0.0038533246,7.84028816269711E-06,0.0001618728,0.000008758,1.2140728358645E-05,0.0002916736,0.0005892409,3.97269286622759E-06,4.68252778773604E-07,0.0003719085,0.9063616395,0.0077439719,0.6240016818,0.0668162256,0.0076798797,0.0009422031,0.2611525059,0.0316634998,0.0263154618,0.0053595123,0.0106737139,0.94957757,0.9210401177,0.0229081307,0.1547236294,0.0001467417,Unlabelled Clothes/Shoes/shoes789.jpg
18,bottlenecks/Unlabelled Clothes/Shoes/shoes1393.jpg.txt,0.0071685612,0.0042355503,0.8591017723,0.0565749034,0.0112265013,0.0025434601,0.0020573814,8.06100579211488E-05,0.0007555705,0.0056452923,0.0011702421,0.0060139545,0.0268526394,0.0097315935,0.0020740861,0.0047678966,0.0907842368,0.0009062074,0.091168195,0.0458893478,0.0130508495,0.0118635204,0.012914422,0.0010840459,0.0003459803,0.0007343375,6.43452076474205E-05,0.0001838872,0.0012871043,0.0015045566,1.76740797996899E-06,0.0012676538,0.726949513,0.2156814635,0.0587615706,0.1632374972,0.3111745715,0.002798941,0.2274373025,0.020908691,0.0080860537,0.0084224381,0.0511650741,0.0576483496,0.886099875,0.013939525,0.0407100134,0.0013285606,Unlabelled Clothes/Shoes/shoes1393.jpg
19,bottlenecks/Unlabelled Clothes/Shoes/shoes134.jpg.txt,0.0015344303,0.0004212073,0.7879480124,0.1612808555,0.0031069608,0.0011593223,0.0018720571,8.44611349748448E-05,0.0002735329,0.0038053633,0.0007702723,0.0054838317,0.029609438,0.0021347748,0.0001056739,0.0004099587,0.0257594939,0.0002854172,0.0544269867,0.0633632094,0.0051519359,0.0012224317,0.0047248625,0.0001367478,5.16875916218851E-05,0.000149065,4.50547740911134E-05,0.0001287697,0.0024953922,0.0004476549,6.00414750806522E-06,0.0007167575,0.8408885002,0.3662661314,0.0132187316,0.0092204902,0.006580357,0.0007983266,0.5826026797,0.0213132333,0.0181070641,0.0086069256,0.0294674337,0.1064966694,0.9658171535,0.0103405742,0.0315798819,0.0010778024,Unlabelled Clothes/Shoes/shoes134.jpg
20,bottlenecks/Unlabelled Clothes/Shoes/shoes1563.jpg.txt,0.0150527284,1.85374919965398E-05,0.0381891839,0.0086247893,0.9346077442,0.0006533436,0.0013580711,1.01768482636544E-05,0.0001603252,4.02363621105906E-05,0.0002693692,0.0001610261,0.0007330243,8.91722011147067E-05,0.000002114,3.02509106404614E-05,0.171911478,1.65825417752785E-06,0.0748626739,0.0007516925,0.0045410595,0.0098323459,0.2672592998,7.66277753427858E-06,0.0012397819,4.09705680795014E-05,0.0001271625,1.21015009426628E-05,1.62517553690122E-05,2.44792150994044E-08,5.35783015176428E-11,0.0001531638,0.4692427814,0.2849011421,0.0134819476,0.2045200169,0.3013851941,0.0451628342,0.1393964142,0.0111523755,0.0373359174,0.0003552193,0.2180237174,0.0587998405,0.0718410462,0.1097816899,0.0352925211,0.0609684624,Unlabelled Clothes/Shoes/shoes1563.jpg
21,bottlenecks/Unlabelled Clothes/Shoes/shoes2891.jpg.txt,0.0100726336,0.0005145443,0.9696911573,0.0045736954,0.0023439773,0.001885992,0.0019650774,4.74747730550007E-06,0.0001321838,0.0001066401,0.0043399003,0.003520536,0.0008264444,1.4943068890716E-05,7.11685106580262E-06,3.43820858006438E-07,0.3794602752,0.0001305696,0.0338097513,0.0104024308,0.0082109403,0.0011972073,0.000708406,0.0003141727,8.4486287960317E-05,5.14673502038932E-07,0.0001349799,0.0032683362,0.0001350443,5.33333377461531E-07,3.21504991518395E-08,8.77112906891853E-05,0.5620545745,4.51233827334363E-05,0.0284563042,0.8922910094,0.0625917539,0.0015431283,0.0051846057,0.0098880315,0.0410477184,0.033593677,0.7513352036,0.9423503876,0.0811369121,0.6204130054,0.0769448131,0.0046997597,Unlabelled Clothes/Shoes/shoes2891.jpg
22,bottlenecks/Unlabelled Clothes/Shoes/shoes1685.jpg.txt,0.0686578751,0.0047038393,0.0415360667,0.6842316985,0.1150004044,0.0016556503,0.016096998,0.0007901552,0.0024598278,0.0400738008,0.0052970625,0.0037569662,0.0085496251,0.000139872,0.006287443,0.0007627258,0.2046823055,0.0006589312,0.0239695366,0.2033159882,0.0088888165,0.0125113009,0.0132286707,0.0008536808,0.0020226163,0.000159502,0.0001236751,0.001509279,0.0002877248,3.81239146918233E-06,7.25959807823529E-06,0.0012142383,0.5265626311,0.0012844811,0.1243558228,0.6624885798,0.103742905,0.069568783,0.011699223,0.0268601794,0.0340688638,0.0189279374,0.1326888353,0.8761532307,0.0652787909,0.1779677272,0.3184220493,0.0108199492,Unlabelled Clothes/Shoes/shoes1685.jpg
23,bottlenecks/Unlabelled Clothes/Shoes/shoes1949.jpg.txt,0.0007960961,0.0005607575,0.2632155716,0.5855491757,0.0091886465,0.0011559819,0.0090279831,0.0008299421,0.000358798,0.010990371,0.000376664,0.0110775521,0.1036536992,0.001546522,0.0006795813,0.00099269,0.0427951515,0.0017481453,0.0646527708,0.1870378107,0.0038681633,0.0026743999,0.0054437905,0.0001655549,7.1232185291592E-05,0.0001768748,5.6961624068208E-05,7.75508160586469E-05,0.0043560681,0.001903788,0.0001146636,0.0015573624,0.6832997203,0.4332462847,0.0757398605,0.0386224985,0.0150176072,0.0003048316,0.367827028,0.0692418963,0.0127321454,0.0256013684,0.0721054599,0.3826377094,0.7419739366,0.0295357704,0.2319536656,0.000316054,Unlabelled Clothes/Shoes/shoes1949.jpg
24,bottlenecks/Unlabelled Clothes/Shoes/shoes376.jpg.txt,0.03505845,0.0324326642,0.0447185077,0.5062819719,0.0352533944,0.0189295858,0.0337931439,0.0005471042,0.0042325286,0.0256435797,0.001783186,0.0078836186,0.2270035893,0.0017864711,0.0111724436,0.0134797581,0.0331747383,0.0004556798,0.0023872042,0.8752732873,0.0015581722,0.002265505,0.0018460877,0.0003502698,0.0002254527,1.77125875779893E-05,1.88134254131001E-05,3.11223629978485E-05,0.0001119679,0.000006701,1.03595439213677E-05,0.0003393149,0.0819275603,0.0122884233,0.0758957788,0.5256658792,0.2149695307,0.0116366753,0.004173751,0.1553699374,0.0175760109,0.0686278492,0.3357075155,0.5681018829,0.0472446159,0.0852447823,0.4921664,0.0002603537,Unlabelled Clothes/Shoes/shoes376.jpg
25,bottlenecks/Unlabelled Clothes/Shoes/shoes3123.jpg.txt,0.0001565101,0.0004838632,0.0083337668,0.9620290995,0.0029125384,0.0002444913,0.0006356019,8.06978932814673E-05,0.0002317107,0.0058554206,0.0005801097,0.0029758788,0.014538317,0.0001199418,0.0006866396,0.0001352836,0.1644860059,0.0009521406,0.3180250525,0.0984448716,0.0069358582,0.0021953131,0.0058194031,0.0004119241,0.0001437937,0.0030992774,0.0002182051,0.000108861,0.0022224165,0.000101163,1.29525442389422E-05,0.0019869946,0.3948357999,0.9217521548,0.0021291028,0.006433357,0.0008480066,0.0051295524,0.0212037098,0.0425042398,0.0196924396,0.0530512333,0.0492358096,0.073109895,0.3489369452,0.0348963179,0.5733059049,0.0078342585,Unlabelled Clothes/Shoes/shoes3123.jpg
26,bottlenecks/Unlabelled Clothes/Shoes/shoes1391.jpg.txt,0.0249831807,0.0020101205,0.622829318,0.0475139618,0.085543558,0.0740745291,0.1097820997,0.0008341142,0.0039126617,0.0014916181,0.0054754983,0.0074415831,0.0087312702,0.0006017152,0.0019115849,0.002863104,0.6399128437,0.0052669584,0.0285208449,0.132393539,0.0053761252,0.0284845158,0.047575742,0.0005613669,0.0009933007,7.64882570365444E-05,0.0012114418,0.0014397852,0.0012366992,0.0001690483,1.92123825399904E-05,0.0032745495,0.103487514,0.0386204235,0.0767663196,0.4487794042,0.2487338781,0.0181080047,0.0749078318,0.0940841138,0.0200179499,0.0338510536,0.2519165277,0.2350415885,0.257843107,0.1009562686,0.1154144555,0.0183167383,Unlabelled Clothes/Shoes/shoes1391.jpg
27,bottlenecks/Unlabelled Clothes/Shoes/shoes2415.jpg.txt,0.000199675,0.0005500106,0.8142220378,0.1471490562,0.0249865111,0.0012888386,0.0017268687,0.00019773,0.0004352721,0.0006865495,0.0008162305,0.0020242988,0.005121754,0.0004398826,3.31977644236758E-05,0.000122148,0.0658029392,0.0022287953,0.1590617448,0.0714797974,0.0153190056,0.0128207169,0.0194384251,0.00031787,0.0002100225,0.0001387612,0.0001177473,0.0002579109,0.0036655322,0.0007537638,0.0002081027,0.0007081658,0.6474706531,0.0248683505,0.0964363068,0.0533102565,0.0080098538,0.0006878146,0.7751837969,0.0415036008,0.049912408,0.0146668935,0.0218084622,0.4770479202,0.9559619427,0.0264570154,0.0693348646,0.0009162408,Unlabelled Clothes/Shoes/shoes2415.jpg
28,bottlenecks/Unlabelled Clothes/Shoes/shoes978.jpg.txt,0.0021124748,8.41514192870818E-05,0.6401494145,0.0310101919,0.0241274741,0.0097894575,0.031748075,0.0062167505,0.0044388794,0.0607477725,0.0004945219,0.0389468633,0.0833033845,0.0098072207,0.0019806481,0.0550428368,0.6299179196,0.0014595763,0.0413080119,0.0461822189,0.0506353118,0.0203668922,0.1751289517,0.0084438762,0.000576217,3.09714632749092E-05,0.0002975656,0.0078637339,0.0104628531,0.0033701581,3.19165956170764E-05,0.0007698776,0.0031538815,0.0056060473,0.0042494363,0.1376074404,0.8489521146,0.000612831,0.0005436583,0.0024283782,0.0346629582,0.0183785707,0.8578869104,0.1634390652,0.0049982774,0.0311729573,0.5363494158,0.0018926591,Unlabelled Clothes/Shoes/shoes978.jpg
29,bottlenecks/Unlabelled Clothes/Shoes/shoes2059.jpg.txt,0.0239366554,0.0151376119,0.4024545848,0.0793244243,0.2989500165,0.0065504266,0.0434245728,0.0001231067,0.0026342217,0.0653100908,0.0136758946,0.0142803676,0.0268137287,0.0018035523,0.0023024543,0.0032784292,0.0644211322,0.0001088219,0.0256179683,0.0784524158,0.0007205525,0.0011794862,0.0024195539,2.0437613784452E-05,0.0002881395,1.13544465421001E-05,4.38402385043446E-05,1.66043046192499E-05,0.00036288,1.74052013335313E-06,4.60049376371785E-09,0.0008314562,0.8255036473,0.0579534918,0.2028049231,0.1773823053,0.1110822782,0.3412528336,0.0319413133,0.0775828809,0.0035768561,0.0109518832,0.0587892309,0.3612556756,0.4894221723,0.023641143,0.0568289012,0.0445346572,Unlabelled Clothes/Shoes/shoes2059.jpg
30,bottlenecks/Unlabelled Clothes/Shoes/shoes2866.jpg.txt,0.0232271906,0.0047749975,0.3130005002,0.5010482073,0.020953333,0.0061660311,0.0119879078,0.0006136462,0.002453899,0.0293272305,0.0140403016,0.0074369158,0.0451368168,0.008164132,0.0103335474,0.0013352876,0.0364630409,0.0103067104,0.0275221337,0.6057174206,0.0033381274,0.0035683687,0.0076092496,0.0003532741,0.0009818396,0.0013938623,0.000271203,0.0003166005,0.0011132685,0.0007497558,2.22035905608209E-05,0.0073359148,0.2929369509,0.0708611459,0.0927928835,0.079702571,0.0229592975,0.0137164369,0.1802820414,0.539685607,0.014441832,0.0360349156,0.0385258384,0.4886721075,0.8652946949,0.0493728146,0.197972253,0.0156124802,Unlabelled Clothes/Shoes/shoes2866.jpg
